disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Administrative boundary of reporting government,col2_Next highest level of government,col3_Next lowest level of government,col4_Area of the jurisdiction boundary (in square km),"col5_Percentage range of jurisdiction area that is natural or modified terrestrial, freshwater, coastal and/or marine ecosystem",col6_Current (or most recent) population size,col7_Population year,col8_Projected population size,col9_Projected population year,col10_Select the currency used for all financial information reported throughout your response,col11_Select which Common Reporting Framework level you are reporting to^
2025 Disclosure Cycle,779465,CDP,31156,Municipality of Curitiba,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,434.892,21-30%,1773718,2022,2151040.0,2050,BRL Brazilian Real,CRF Complete level
2025 Disclosure Cycle,779465,CDP,31163,Istanbul Metropolitan Municipality,City,UKWW,Türkiye,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Metropolitan area,County / Province,Sub-municipal district,5343.0,21-30%,15701602,2024,21310000.0,2050,TRY New Turkish Lira,CRF Complete level
2025 Disclosure Cycle,779465,CDP,31164,Ho Chi Minh City,City,South East Asia & Oceania,Viet Nam,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Metropolitan area,National,Sub-municipal district,2095.239,11-20%,9166840.0,2021,13500000.0,2040,VND Vietnamese đồng,
2025 Disclosure Cycle,779465,CDP,31165,City of Heidelberg,City,Europe,Germany,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,108830.0,71-80%,162960,2023,172812.0,2035,EUR Euro,CRF Complete level
2025 Disclosure Cycle,779465,CDP,31166,Jakarta City Government,City,South East Asia & Oceania,Indonesia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,County / Province,County / Province,Sub-municipal district,660.98,11-20%,10677975,2024,10609700,2035,IDR Rupiah,CRF Complete level
2025 Disclosure Cycle,779465,CDP,31167,City of Lagos,City,UKWW,Nigeria,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,Local government area within a greater metropolitan area,3577.0,21-30%,24600000.0,2015,35000000,2030,NGN Naira,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,31168,City District Government Karachi,City,UKWW,Pakistan,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Independent city / municipality,County / Province,Sub-municipal district,,<5%,20300000,2023,31696042.0,2050,PKR Pakistan Rupee,
2025 Disclosure Cycle,779465,CDP,31169,Government of Hong Kong Special Administrative Region,City,China,"China, Hong Kong Special Administrative Region",Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,No lower level of government,1114.35,71-80%,7524100,2024,8190400,2046,HKD Hong Kong Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,31170,Metropolitan Municipality of Lima,City,Latin America,Peru,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,City / Municipality,2641.89,5-10%,8574974.0,2017,39363000.0,2050,PEN Nuevo Sol,CRF Complete level
2025 Disclosure Cycle,779465,CDP,31171,City of Madrid,City,Europe,Spain,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,City/Municipality,City / Municipality,606.0,21-30%,3416771,2024,3364253.0,2030,EUR Euro,CRF Complete level
2025 Disclosure Cycle,779465,CDP,31172,Mexico City,City,Latin America,Mexico,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,City / Municipality,1495.0,51-60%,9237645,2022,9032705,2030,MXN Mexican Peso,CRF Complete level
2025 Disclosure Cycle,779465,CDP,31173,City of Milan,City,Europe,Italy,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,Metropolitan area,Sub-municipal district,182.0,31-40%,1407044,2024,1546501,2043,EUR Euro,CRF Complete level
2025 Disclosure Cycle,779465,CDP,31175,City of Paris,City,Europe,France,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Sub-municipal district,105.4,21-30%,2087600,2024,2064000,2040,EUR Euro,CRF Complete level
2025 Disclosure Cycle,779465,CDP,31176,Prefeitura do Rio de Janeiro,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,1204.0,31-40%,6729894,2024,6986520,2050,BRL Brazilian Real,CRF Complete level
2025 Disclosure Cycle,779465,CDP,31177,"Salt Lake City, UT",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,285.9346,11-20%,199723.0,2020,236871.0,2040,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,31178,City of Mumbai,City,India,India,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,483.22,31-40%,13060181,2024,13346302.0,2030,INR Indian Rupee,CRF Complete level
2025 Disclosure Cycle,779465,CDP,31179,Municipality of Rotterdam,City,Europe,Netherlands,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,21.757,31-40%,670735,2024,680660.0,2030,EUR Euro,CRF Complete level
2025 Disclosure Cycle,779465,CDP,31180,Región Metropolitana de Santiago,City,Latin America,Chile,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,State / regional,National,Independent city / municipality,15403.2,51-60%,8471244,2025,8844243.0,2035,CLP Chilean Peso,CRF Complete level
2025 Disclosure Cycle,779465,CDP,31181,"City of Philadelphia, PA",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Sub-municipal district,347.52,21-30%,1573916,2024,1836216,2050,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,31182,"City of San Francisco, CA",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,121.0,21-30%,827526,2024,854788,2050,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,31184,Prefeitura de São Paulo,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Special city / municipality,1521.0,51-60%,11451999,2022,12205291,2050,BRL Brazilian Real,CRF Simplified level
