disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Administrative boundary of reporting government,col2_Next highest level of government,col3_Next lowest level of government,col4_Area of the jurisdiction boundary (in square km),"col5_Percentage range of jurisdiction area that is natural or modified terrestrial, freshwater, coastal and/or marine ecosystem",col6_Current (or most recent) population size,col7_Population year,col8_Projected population size,col9_Projected population year,col10_Select the currency used for all financial information reported throughout your response,col11_Select which Common Reporting Framework level you are reporting to^
2025 Disclosure Cycle,779465,CDP,60400,Municipalidad de Temuco,City,Latin America,Chile,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Town,464,5-10%,309696,2024,308175,,CLP Chilean Peso,CRF Complete level
2025 Disclosure Cycle,779465,CDP,60407,Municipalidad de Colina,City,Latin America,Chile,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,971.2,I do not have this data,146207,2017,230114,2035,CLP Chilean Peso,
2025 Disclosure Cycle,779465,CDP,60408,Municipalidad de Talca,City,Latin America,Chile,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,232,21-30%,232131,2024,275000,2030,CLP Chilean Peso,
2025 Disclosure Cycle,779465,CDP,60410,Municipalidad de Peñalolén,City,Latin America,Chile,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,54.0,31-40%,270707,2022,277899.0,2030,CLP Chilean Peso,CRF Complete level
2025 Disclosure Cycle,779465,CDP,60433,Hvidovre Municipality,City,Europe,Denmark,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,No lower level of government,22.9,11-20%,53443,2023,56419.0,2030,DKK Danish Krone,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,60546,Nanjing Municipal People's Government,City,China,China,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,6587.02,41-50%,9547000,2023,13000000,2035,CNY Yuan Renminbi,
2025 Disclosure Cycle,779465,CDP,60588,City of Alba Iulia,City,Europe,Romania,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,103,<5%,74342,2024,74684,2030,EUR Euro,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,60599,"Town of Bridgewater, NS",City,North America,Canada,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,13.61,21-30%,8790.0,2021,10533,2050,CAD Canadian Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,60602,"Town of Ajax, ON",City,North America,Canada,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Independent city / municipality,Other: Regional Municiplaity,No lower level of government,67.3,21-30%,126666.0,2021,134063.0,2026,CAD Canadian Dollar,
2025 Disclosure Cycle,779465,CDP,60625,Dire Dawa,City,UKWW,Ethiopia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,County / Province,4.8,5-10%,355000,2024,661070,2050,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,60656,"City of Piedmont, CA",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,4.4,5-10%,10811,2022,15000,2045,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,60892,Municipalidad de Punta Arenas,City,Latin America,Chile,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,17.8463,51-60%,132363,2024,138470,2026,CLP Chilean Peso,CRF Complete level
2025 Disclosure Cycle,779465,CDP,60905,Municipalidad de Maipú,City,Latin America,Chile,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,135.5,I do not have this data,503635,2024,,,CLP Chilean Peso,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,60906,Municipalidad de Vitacura,City,Latin America,Chile,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,28.3,21-30%,91198,2017,94314,2030,CLP Chilean Peso,CRF Complete level
2025 Disclosure Cycle,779465,CDP,61467,Dipolog City,City,South East Asia & Oceania,Philippines,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,136.28,5-10%,138141,2020,208397,2050,PHP Philippine Peso,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,62171,Metropolitan Municipality of Rouen,City,Europe,France,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Intercommunality / Intermunicipality,State / regional,City / Municipality,663.8,61-70%,500703,2022,532681.0,2033,EUR Euro,
2025 Disclosure Cycle,779465,CDP,62407,Blacktown City Council,City,South East Asia & Oceania,Australia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Local government area within a greater metropolitan area,State / regional,No lower level of government,246.9,<5%,410944,2022,540511,2041,AUD Australian Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,62791,City of Botoșani,City,Europe,Romania,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,No lower level of government,41.36,21-30%,90010,2021,110000,2027,RON Romanian New Leu,CRF Complete level
2025 Disclosure Cycle,779465,CDP,62793,City of Ploiești,City,Europe,Romania,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,58.26,21-30%,200000,2021,317508,2030,EUR Euro,
2025 Disclosure Cycle,779465,CDP,62795,City of Brașov,City,Europe,Romania,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,262,41-50%,237589,2021,220200,2030,EUR Euro,
2025 Disclosure Cycle,779465,CDP,62800,City of Bistrița,City,Europe,Romania,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,145,11-20%,79000,2021,80000,2030,EUR Euro,CRF Complete level
2025 Disclosure Cycle,779465,CDP,63562,"City of South Bend, IN",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,Consolidated city-county,Sub-municipal district,107.38,21-30%,103353.0,2021,102587.0,2030,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,63601,"Township of Maplewood, NJ",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,9,21-30%,25321,2023,,,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,63608,City of Melville,City,South East Asia & Oceania,Australia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,53.0,21-30%,110426,2023,126586,2046,AUD Australian Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,63836,Vadodara Municipal Corporation,City,India,India,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,220.33,11-20%,2559975,2021,4866796,2050,INR Indian Rupee,CRF Complete level
2025 Disclosure Cycle,779465,CDP,63941,"Broward County, FL",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,County / Province,State / regional,City / Municipality,3172,61-70%,2037472,2024,2210000,2050,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,64014,"City of Cupertino, CA",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,29.29,31-40%,58710,2023,68305.0,2040,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,68250,City of Canada Bay,City,South East Asia & Oceania,Australia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Local government area within a greater metropolitan area,State / regional,No lower level of government,19.82,11-20%,89139.0,2022,120000.0,2036,AUD Australian Dollar,
2025 Disclosure Cycle,779465,CDP,68265,Georges River Council,City,South East Asia & Oceania,Australia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,38.36,I do not have this data,158051,2023,184426,2046,AUD Australian Dollar,
2025 Disclosure Cycle,779465,CDP,68267,Sutherland Shire Council,City,South East Asia & Oceania,Australia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Local government area within a greater metropolitan area,State / regional,No lower level of government,369,61-70%,238614,2024,257531,2036,AUD Australian Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,68384,Prefeitura de Engenheiro Coelho,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,City/Municipality,City / Municipality,119798,31-40%,1919566,2022,22000,2026,BRL Brazilian Real,
2025 Disclosure Cycle,779465,CDP,69824,Västervik Municipality,City,Europe,Sweden,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,1872.0,61-70%,36434,2023,36300,2035,SEK Swedish Krona,
2025 Disclosure Cycle,779465,CDP,69849,Santa Cruz de Galápagos,City,Latin America,Ecuador,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,Other: Concejo de Gobierno de Galápagos,Other: Gobierno Auntónomo Descentralizado Parroquial,109627.32,81-90%,17673,2022,18630,2030,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,69968,Alcaldia de Rionegro,City,Latin America,Colombia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,197,61-70%,116400.0,2018,146880.0,,COP Colombian Peso,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,70247,Hsinchu City Government,City,China,East Asia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,Town,104.1,31-40%,457242,2024,500000.0,2030,TWD New Taiwan Dollar,
2025 Disclosure Cycle,779465,CDP,73295,"City of La Crosse, WI",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,56.21,21-30%,51380.0,2020,55000.0,2050,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,73413,Commune de Cocody,City,UKWW,Côte d'Ivoire,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,Federal district,City / Municipality,132,31-40%,692583.0,2021,800000.0,2030,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,73645,KwaDukuza,City,UKWW,South Africa,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,City / Municipality,740,5-10%,324912,2022,430084.0,2030,ZAR South African Rand,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,73666,"Cuyahoga County, OH",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,County / Province,State / regional,City / Municipality,2040.0,61-70%,1225276,2025,1154210.0,2030,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,73669,"San Luis Obispo, CA",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,33.5,41-50%,49729,2024,56686.0,2035,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,73671,Godoy Cruz,City,Latin America,Argentina,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,107,I do not have this data,195159,2022,197084,2030,ARS Argentine Peso,CRF Complete level
2025 Disclosure Cycle,779465,CDP,73678,Chañar Ladeado,City,Latin America,Argentina,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,263,I do not have this data,6250,2022,7273,2030,ARS Argentine Peso,CRF Complete level
2025 Disclosure Cycle,779465,CDP,73683,Municipality of Durango,City,Europe,Spain,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Town,123451.29,71-80%,1832650,2020,5000000,2028,MXN Mexican Peso,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,73687,Sabaneta,City,Latin America,Colombia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,15,91-100%,89647,2024,93937,2034,COP Colombian Peso,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,73725,Guaminí,City,Latin America,Argentina,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,4827,I do not have this data,11801,2022,13195,2030,ARS Argentine Peso,CRF Complete level
2025 Disclosure Cycle,779465,CDP,73737,"City of Naga, Camarines Sur",City,South East Asia & Oceania,Philippines,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Other: Barangay,84.48,5-10%,210545,2024,301300,2030,PHP Philippine Peso,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,73738,Khon Kaen City Municipality,City,South East Asia & Oceania,Thailand,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,46,11-20%,100211,2025,106306,2030,THB Baht,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,73742,City of Catbalogan,City,South East Asia & Oceania,Philippines,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,City / Municipality,565.34,61-70%,107896,2024,110840,2030,PHP Philippine Peso,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,73746,Probolinggo,City,South East Asia & Oceania,Indonesia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,55.197,21-30%,243746,2024,263727,2030,IDR Rupiah,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,73750,Tarakan City,City,South East Asia & Oceania,Indonesia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,250.8,31-40%,255310,2024,269176,2030,IDR Rupiah,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,73752,Bontang City,City,South East Asia & Oceania,Indonesia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,161.88,31-40%,191811,2024,204278,2030,IDR Rupiah,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,73755,Legazpi City,City,South East Asia & Oceania,Philippines,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Special city / municipality,161.6543,11-20%,209533,2020,239602,2030,PHP Philippine Peso,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,73758,Mataram City,City,South East Asia & Oceania,Indonesia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,60.13,5-10%,441147,2023,499956,2045,IDR Rupiah,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,73759,Jambi City,City,South East Asia & Oceania,Indonesia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,169.887,11-20%,635101,2024,741758,2045,IDR Rupiah,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,73763,San Carlos City,City,South East Asia & Oceania,Philippines,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Town,451.5,21-30%,132650,2020,20000,2040,PHP Philippine Peso,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,73771,Banjarmasin City,City,South East Asia & Oceania,Indonesia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Other: Kelurahan,98.46,5-10%,681693,2024,682228,2026,IDR Rupiah,CRF Complete level
2025 Disclosure Cycle,779465,CDP,73782,Thimphu,City,India,Bhutan,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,No lower level of government,26,11-20%,114551,2017,183390,2047,BTN Ngultrum,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,73795,Girardota,City,Latin America,Colombia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,City / Municipality,82.86,,,,,,,
2025 Disclosure Cycle,779465,CDP,73810,"Miami-Dade, FL",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,County / Province,State / regional,City / Municipality,4917.0,71-80%,2662777.0,2021,3367040.0,2040,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,73879,Roskilde Municipality,City,Europe,Denmark,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,212,11-20%,90446,2023,96600,2040,DKK Danish Krone,CRF Complete level
2025 Disclosure Cycle,779465,CDP,73892,Holbæk Municipality,City,Europe,Denmark,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,577,71-80%,73440,2023,77431.0,2050,DKK Danish Krone,
2025 Disclosure Cycle,779465,CDP,74296,Pekalongan,City,South East Asia & Oceania,Indonesia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,46.2,21-30%,321095,2024,337348,2029,IDR Rupiah,
2025 Disclosure Cycle,779465,CDP,74302,Bandar Lampung City,City,South East Asia & Oceania,Indonesia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,,183.77,I do not have this data,24,2024,,,IDR Rupiah,
2025 Disclosure Cycle,779465,CDP,74317,Surat Thani Municipality,City,South East Asia & Oceania,Thailand,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,68.97,21-30%,131171,2024,140352,2027,THB Baht,
2025 Disclosure Cycle,779465,CDP,74325,Pontianak,City,South East Asia & Oceania,Indonesia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Federal district,118.209,11-20%,680852,2024,774637.0,2030,IDR Rupiah,CRF Complete level
2025 Disclosure Cycle,779465,CDP,74332,Manado City,City,South East Asia & Oceania,Indonesia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,1624132.44,41-50%,460434,2024,476771,2030,IDR Rupiah,
2025 Disclosure Cycle,779465,CDP,74334,Cirebon City,City,South East Asia & Oceania,Indonesia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,39.46,11-20%,356629,2024,432067,2045,IDR Rupiah,
2025 Disclosure Cycle,779465,CDP,74346,Bengkulu City,City,South East Asia & Oceania,Indonesia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Town,County / Province,Sub-municipal district,151.2,21-30%,397321,2025,400000,2026,IDR Rupiah,
2025 Disclosure Cycle,779465,CDP,74350,Jayapura City,City,South East Asia & Oceania,Indonesia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,Sub-municipal district,835.94,61-70%,404193,2023,497691,2032,IDR Rupiah,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,74371,Himeji,City,Japan,Japan,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Special city / municipality,State / regional,No lower level of government,534.35,51-60%,516989,2025,461967.0,2045,JPY Japanese yen,
2025 Disclosure Cycle,779465,CDP,74391,Ternate,City,South East Asia & Oceania,Indonesia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,City/Municipality,City / Municipality,,,,,,,,
2025 Disclosure Cycle,779465,CDP,74401,"City of Encinitas, CA",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,52,21-30%,62007,2020,68828,2050,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,74414,"Boulder County, CO",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,County / Province,State / regional,Independent city / municipality,1920,21-30%,330262,2024,349880.0,2030,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,74418,"Town of Breckenridge, CO",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Town,County / Province,Sub-municipal district,14.2,21-30%,4892,2024,,,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,74462,"Village of Oak Park, IL",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,12.17,31-40%,54583,2020,56932.0,2050,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,74508,"City of Winona, MN",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,62.98,51-60%,25948.0,2020,,,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,74531,"Santa Fe County, NM",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,County / Province,State / regional,City / Municipality,4949.0,41-50%,155956,2023,186937.0,2050,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,74539,"City of Oberlin, OH",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Town,12.85,31-40%,8555,2020,8555,2026,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,74540,"Village of Hastings-on-Hudson, NY",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,City/Municipality,No lower level of government,5.13,41-50%,8500.0,2021,9000.0,2031,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,74560,"City of Moab, UT",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,12.4,I do not have this data,5321,2022,5384,2026,USD US Dollar,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,74568,"City of Shoreline, WA",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,Sub-municipal district,31.86,51-60%,63740,2025,69320.0,2050,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,74575,"Dane County, WI",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,County / Province,State / regional,City / Municipality,3210,51-60%,611149,2025,660070,2030,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,74594,"City of Boynton Beach, FL",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,42.7,41-50%,81748.0,2022,88255.0,2030,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,74670,Antalya Metropolitan Municipality,City,UKWW,Türkiye,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Local government area within a greater metropolitan area,Local government area within a greater metropolitan area,Sub-municipal district,20177.0,51-60%,2722103,2025,2758398,2026,TRY New Turkish Lira,
2025 Disclosure Cycle,779465,CDP,74671,Kadıköy,City,UKWW,Türkiye,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,25.09,11-20%,481983.0,2022,705926.0,2030,TRY New Turkish Lira,CRF Complete level
2025 Disclosure Cycle,779465,CDP,74672,Nilüfer Municipality,City,UKWW,Türkiye,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,County / Province,Metropolitan area,Sub-municipal district,0.5075,<5%,561730,2024,948564.0,2030,TRY New Turkish Lira,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,74673,İzmir Metropolitan Municipality,City,UKWW,Türkiye,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,Sub-municipal district,No lower level of government,12012,31-40%,4493242,2024,5033986,2030,TRY New Turkish Lira,
2025 Disclosure Cycle,779465,CDP,74680,City of Iași,City,Europe,Romania,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,9.391,11-20%,383825,2024,813500,2030,RON Romanian New Leu,CRF Complete level
2025 Disclosure Cycle,779465,CDP,74690,Municipality of L'Hospitalet de Llobregat,City,Europe,Spain,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,Metropolitan area,Sub-municipal district,12.49,<5%,300424,2024,285852,2030,EUR Euro,
2025 Disclosure Cycle,779465,CDP,74698,Beira,City,UKWW,Mozambique,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,City/Municipality,City / Municipality,633,21-30%,533825,2017,256000,,MZN Metical,
2025 Disclosure Cycle,779465,CDP,826129,Ayuntamiento de Jesús María,City,Latin America,Mexico,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,66459.0,11-20%,18982.0,2020,19172.0,2030,MXN Mexican Peso,
2025 Disclosure Cycle,779465,CDP,826208,Junta Intermunicipal de Medio Ambiente de Sierra Occidental y Costa (JISOC),City,Latin America,Mexico,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Intercommunality / Intermunicipality,State / regional,City / Municipality,9258.0,61-70%,349325.0,2020,384258.0,2030,MXN Mexican Peso,
2025 Disclosure Cycle,779465,CDP,826211,Junta Intermunicipal de Medio Ambiente Altos Sur (JIAS),City,Latin America,Mexico,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Intercommunality / Intermunicipality,State / regional,City / Municipality,6612.82,31-40%,411448.0,2020,436915.0,2030,MXN Mexican Peso,
2025 Disclosure Cycle,779465,CDP,826212,JIRCO,City,Latin America,Mexico,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Intercommunality / Intermunicipality,Intercommunality / Intermunicipality,Intercommunality / Intermunicipality,6543,I do not have this data,311676,2020,348626,2030,MXN Mexican Peso,
2025 Disclosure Cycle,779465,CDP,826217,Prefeitura de Francisco Morato,City,Latin America,Brazil,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Town,49.164,21-30%,165139.0,2022,200000,2026,BRL Brazilian Real,CRF Complete level
2025 Disclosure Cycle,779465,CDP,826396,Municipality of Sintra,City,Europe,Portugal,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Other: Parish,319,21-30%,395528,2023,423690.0,2050,EUR Euro,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,826405,Municipality of Maia,City,Europe,Portugal,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,Metropolitan area,Other: Freguesia,82.99,41-50%,138964,2023,126109.0,2030,EUR Euro,CRF Complete level
2025 Disclosure Cycle,779465,CDP,826425,Municipality of Caldas da Rainha,City,Europe,Portugal,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Other: Freguesia,255.0,51-60%,55206,2024,50000.0,2050,EUR Euro,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,826426,Municipality of Covilhã,City,Europe,Portugal,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,No lower level of government,555.6,71-80%,46375,2023,45090,2030,EUR Euro,CRF Complete level
2025 Disclosure Cycle,779465,CDP,826429,Municipality of Figueira da Foz,City,Europe,Portugal,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Other: Freguesia,379.05,31-40%,60670,2023,57469,2030,EUR Euro,
2025 Disclosure Cycle,779465,CDP,826431,Municipality of Loulé,City,Europe,Portugal,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,Other: Freguesia,763.67,51-60%,72332.0,2021,74410,,EUR Euro,CRF Complete level
