disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Global initiative/convention,col2_Please describe your region's involvement
2025 Disclosure Cycle,779465,CDP,835965,West Papua Province,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,Cities4Forests,Manokwari
2025 Disclosure Cycle,779465,CDP,835965,West Papua Province,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,2,Row 2,Rio Branco Declaration,Endorsers of the Rio Branco Declaration (https://earthinnovation.org/wp-content/uploads/2014/10/RioBrancoDeclaration_EN.pdf)
2025 Disclosure Cycle,779465,CDP,835965,West Papua Province,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,3,Row 3,Other: TIPAS,TROPICAL IMPORTANT PLANTS AREA (TIPAS). This project aims to use the Tropical Important Plant Areas (TIPAs) framework to identify key areas for the conservation of plant diversity 
2025 Disclosure Cycle,779465,CDP,835965,West Papua Province,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,4,Row 4,Other: Governor's Climate and Forests Task Force,Members of the Governors' Climate and Forests Task Force (GCF) https://www.gcftf.org/member-states
2025 Disclosure Cycle,779465,CDP,835965,West Papua Province,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,5,Row 5,Other: Manaus Action Plans,"MAP has three main commitments to reduce the deforestation rate by at least 80% relative to the current level by 2030, as well as increasing forest restoration and adaptation efforts, if long-term, sufficient financing, and support are made available. MAP has 6 main pillars which were aligned with the 2021 GCF Task Force Regional Meeting's results in Bali. The 6 pillars are (1) Facilitation of communication/stakeholder forum; (2)support for the development of the jurisdictional model and low carbon plan; (3) support for innovative sustainable financing schemes; (4) support for REDD+ monitoring system; (5) Steering Committee on Sustainable Agriculture (SCAI); (6) Steering Committee on Indigenous People and Local Community (IPLC)."
2025 Disclosure Cycle,779465,CDP,835965,West Papua Province,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,6,Row 6,Other: INTERFAITH,"INTERFAITH RAINFOREST INITIATIVE DARI NORWAY 2021.Chapter launching plans in the market, there was new training and Management Establishment"
2025 Disclosure Cycle,779465,CDP,835965,West Papua Province,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,7,Row 7,Other: STAR PROJECT,Efforts to restore populations of leatherback sharks/zebra sharks that are endangered in Raja Ampat waters/Papua bird's head seascapes
2025 Disclosure Cycle,779465,CDP,848149,Mato Grosso do Sul,States & Regions,Latin America,Brazil,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,REDD+,o estado está em processo de elegibilidade para REDD+ jurisdicional\n
2025 Disclosure Cycle,779465,CDP,848300,Aceh,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,New York Declaration on Forests,Endorsers of the New York Declaration on Forests (http://climateinitiativesplatform.org/index.php/The_New_York_Declaration_on_Forests)
2025 Disclosure Cycle,779465,CDP,848300,Aceh,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,2,Row 2,Other: Manaus Action Plan,"MAP has three main commitments to reduce the deforestation rate by at least 80% relative to the current level by 2030,as well as increasing forest restoration and adaptation efforts, if long-term, sufficient financing, and support are made available. MAP has 6 main pillars which were aligned with the 2021 GCF Task Force Regional Meeting's results in Bali. The 6 pillars are (1) Facilitation of communication/stakeholder forum; (2)support for the development of the jurisdictional model and low carbon plan; (3) support for innovative sustainable financing schemes; (4) support for REDD+ monitoring system; (5) Steering Committee on Sustainable Agriculture (SCAI); (6) Steering Committee on Indigenous People and Local Community (IPLC)."
2025 Disclosure Cycle,779465,CDP,848300,Aceh,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,3,Row 3,Rio Branco Declaration,Endorsers of the Rio Branco Declaration (https://earthinnovation.org/wp-content/uploads/2014/10/RioBrancoDeclaration_EN.pdf)
2025 Disclosure Cycle,779465,CDP,848300,Aceh,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,4,Row 4,Other: Governor's Climate and Forests Task Force,Members of the Governors' Climate and Forests Task Force (GCF) https://www.gcftf.org/member-states
2025 Disclosure Cycle,779465,CDP,848301,Central Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,REDD+,"The enabler of site-specific project implementation:1. Development of REDD+ Implementation Mechanism (IJ-REDD+). (Implementing agencies: JICA, Kemenhut, Gunung Palung National Park).2. Community Carbon Project for Lamandau Wildlife Reserve (Implementing agencies: RARE, YAYORIN, Clinton Foundation, Orang Utan Foundation).3. The Rimba Raya Biodiversity Reserve REDD Project: Avoided (Planned) Deforestation in Central Kalimantan (Borneo) Indonesia (Implementing agencies: PT. Rimba Raya Conservation, InfiniteEARTH, Ltd., Orangutan Foundation International).4. Katingan Peat Restoration and Conservation Project (Implementing agencies: PT. Rimba Makmur Utama (RMU) Starling Resources)5. Sebangau Restoration Project (Implementing agencies: (WWF, Taman Nasional Sebangau).6. Ecosystem Restoration Concession on Production Forest Concession to Release Orang Utan Using REDD+ Scheme (Implementing agencies: PT. RHOI (Restorasi Habitat Orangutan Indonesia).7. REDD in HoB: Leboyan Corridor, Bukit Baka - Bukit Raya National Park (Implementing agencies: WWF, BMU, MoF)."
2025 Disclosure Cycle,779465,CDP,848301,Central Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,2,Row 2,Governors' Climate and Forests (GCF) Task Force,Members of the Governors' Climate and Forests Task Force (GCF) https://www.gcftf.org/member-states
2025 Disclosure Cycle,779465,CDP,848301,Central Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,3,Row 3,New York Declaration on Forests,Endorsers of the New York Declaration on Forests (http://climateinitiativesplatform.org/index.php/The_New_York_Declaration_on_Forests)
2025 Disclosure Cycle,779465,CDP,848301,Central Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,4,Row 4,Rio Branco Declaration,Endorsers of the Rio Branco Declaration (https://earthinnovation.org/wp-content/uploads/2014/10/RioBrancoDeclaration_EN.pdf)
2025 Disclosure Cycle,779465,CDP,848301,Central Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,5,Row 5,Other: Manaus Action Plan,"In 2022, GCF Task Force renewed their commitment in Manaus Action Plan (MAP). Central Kalimantan has been involved with 7 provinces in GCF TF Indonesia. MAP has three main commitments to reduce deforestation rate by at least 80% relative to the current level by 2030, as well as increasing forest restoration and adaptation efforts, if long-term, sufficient financing, and support are made available. "
2025 Disclosure Cycle,779465,CDP,848301,Central Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,6,Row 6,Nature4Climate,The enabler of site-specific project implementation: Katingan Peat Restoration and Conservation Project (Implementing agencies: PT. Rimba Makmur Utama (RMU) Starling Resources): https://nature4climate.org/nbs-case-studies/; https://4fqbik2blqkb1nrebde8yxqj-wpengine.netdna-ssl.com/wp-content/uploads/2019/09/Peatland-restoration-in-Borneo-Indonesia_Sometimes-it-takes-a-disaster.pdf
2025 Disclosure Cycle,779465,CDP,884371,Nayarit,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,,No participamos en ninguna de las iniciativas enlistadas.
2025 Disclosure Cycle,779465,CDP,884372,Tlaxcala,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,REDD+,\n
2025 Disclosure Cycle,779465,CDP,906800,Federal District,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,Sustainable Development Goals,"La ciudad de México se alínea, en temas de bosques al ODS 15, a través de la siembra de más de 10 millones de árboles y plantas polinizadoras para la revegetación urbana. De igual forma con la implementación de los programas de conservación de ecosistemas y agrosistemas, servicios ambientales en zonas rurales."
2025 Disclosure Cycle,779465,CDP,906800,Federal District,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,2,Row 2,Other: Marco Mundial de Biodiversidad de Kunming-Montreal,"La Ciudad de México, alinea sus acciones al Marco Mundial de Biodiversidad de Kunming-Montreal, el cual establece una visión transformadora para guiar y apoyar a los países en materia de biodiversidad mediante 4 objetivos y 23 metas. Estos objetivos y metas representan un compromiso global integral para conservar, restaurar y usar sustentablemente la biodiversidad.\n\nLos objetivos proporcionan una visión general y los principios rectores, mientras que las metas ofrecen una hoja de ruta detallada y orientada a la acción para lograr esa visión. Juntos, reflejan una comprensión profunda de la complejidad de la biodiversidad y la necesidad de un enfoque multifacético y colaborativo para su conservación y utilización sostenible."
2025 Disclosure Cycle,779465,CDP,906800,Federal District,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,3,Row 3,Other: Declaración de Edimburgo,"La Declaración de Edimburgo, impulsada por el Gobierno de Escocia y adoptada por gobiernos subnacionales y locales de todo el mundo, es un llamado a la acción para detener la pérdida de biodiversidad y es parte del proceso de consulta para el Marco Mundial de la Biodiversidad Posterior a 2020 (MMB-2020) del Convenio sobre la Diversidad Biológica (CDB). Se lanzó en 2020 para fomentar la colaboración y la implementación de medidas efectivas por parte de las autoridades locales y regionales en la protección de la biodiversidad."
2025 Disclosure Cycle,779465,CDP,906800,Federal District,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,4,Row 4,Other: Convención sobre la Diversidad Biológica (CDB),"Aunque no es exclusiva para bosques, busca conservar la biodiversidad, lo cual incluye la protección de los ecosistemas forestales y sus funciones ecológicas esenciales"
2025 Disclosure Cycle,779465,CDP,908451,Klaipėda County,States & Regions,Europe,Lithuania,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,Other: United Nations Framework Convention on Climate Change,"The Klaipėda region contributes to Lithuania's involvement in the United Nations Framework Convention on Climate Change (UNFCCC) through regional efforts in reducing emissions, conserving forests, and promoting sustainable land use. As part of Lithuania's national commitments under the Paris Agreement, Klaipėda focuses on sustainable forestry, energy efficiency, and coastal ecosystem protection, which are crucial for climate mitigation. Additionally, regional initiatives in renewable energy development, such as wind power projects in Klaipėda, help Lithuania achieve its climate targets under the UNFCCC framework.\n\n\n\n\n\n\n"
2025 Disclosure Cycle,779465,CDP,908451,Klaipėda County,States & Regions,Europe,Lithuania,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,2,Row 2,Other: The European Green Deal,"The goal of becoming the first climate-neutral continent (2050) includes energy, industry, construction, biodiversity, food chains, pollution reduction.Region's involvement - through the compliance of national law documents"
