disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Global initiative/convention,col2_Please describe your region's involvement
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,3,Row 3,Other: 30x30,"In October 2020, Governor Newsom issued the Nature-Based Solutions Executive Order N-82-20, advancing biodiversity conservation as an administration priority and elevating the role of nature in the fight against climate change. As part of this Executive Order, California committed to the goal of conserving 30% of our lands and coastal waters by 2030 (30x30). California's 30x30 initiative is part of an international movement to conserve natural areas across our planet, through which scores of countries have established their own 30x30 commitments. California's initiative seeks to protect and restore biodiversity, expand access to nature, and mitigate and build resilience to climate change. This effort drives and aligns with broader state commitments to advance justice, equity, diversity, and inclusion, strengthen tribal partnerships, and sustain our economic prosperity, clean energy resources, and food supply."
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,4,Row 4,Other: Forest Health Memorandum of Understanding,"In December 2018, California, Washington State, and the Canadian Province of British Columbia signed a subnational Memorandum of Understanding (MOU) for the three jurisdictions to collaborate on shared challenges to forest health including climate change, tree mortality, severe wildfire risk, and drought. As Pacific Coast forests face increased threats due to wildfires, drought, invasive pests and diseases, rural economies are among the first to feel the impacts. A key goal of the MOU is to explore ways to expand the market for forest products and promote investments in natural and working lands that increase carbon sequestration and enhance forest resilience."
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,5,Row 5,Other: United Nations Convention on Biological Diversity,"In December 2020, the California Natural Resources Agency joined the United Nations discussions on biodiversity as a subnational observer, where California works with partners around the world to deliver solutions to global biodiversity and climate crises."
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,6,Row 6,Governors' Climate and Forests (GCF) Task Force,"The Governors' Climate and Forests Task Force (GCF) is a subnational partnership aimed at designing jurisdiction-wide programs that reduce deforestation, benefit local communities, and protect the climate. The GCF commenced in 2008-2009, and now includes 39 states and provinces from around the world including Brazil, Colombia, Ecuador, Indonesia, Ivory Coast, México, Nigeria, Peru, Spain, and the United States. A majority of its members are also signatories of the Under2 MOU. The California Air Resources Board (CARB) continues to engage in discussions with governmental agencies outside of California to share information and experiences about the design of programs aimed to reduce emissions from deforestation and forest degradation, and to evaluate whether and how to align California's policies with those in other jurisdictions. GCF Task Force partners participated in the development process of the Standard and testified in support of the Standard at both Board hearings. The Standard provides a strong signal to value the preservation of tropical forests over continued destructive activities such as oil exploration and extraction, and ensures rigorous social and environmental safeguards for indigenous peoples and local communities. Pursuant to Board direction, CARB will continue to engage with GCF partners on the use of the Standard, CARB will also continue to represent California by sending delegates to international GCF conferences and meetings in the coming years, following on recent convenings in Brazil (March 2022) and Peru (October 2022), CARB will also continue to coordinate and exchange information with GCF partners in the coming year."
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,7,Row 7,Other: California Tropical Forest Standard,"In September 2018, The California Air Resources Board (CARB) released a draft California Tropical Forest Standard, which specified criteria to assess jurisdictional sector-based offset crediting programs that reduce emissions from tropical deforestation for immediate use by jurisdictions across the globe that are taking action to reduce greenhouse gas emissions from tropical deforestation. The Board first considered this standard at its November 16, 2018 Board hearing, but did not act on the Standard at that time. Following the Board hearing, CARB continued to assess issues raised by stakeholders and received additional input from members of the Legislature. Based on consideration of these issues and input, CARB updated the Standard, and the Board endorsed the Standard at the September 19, 2019 Board hearing."
2025 Disclosure Cycle,779465,CDP,72920,Autonomous Community of Galicia,States & Regions,Europe,Spain,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,Sustainable Development Goals,"Galicia lleva trabajando desde 2018 en la consecución de los objetivos sostenibles marcados por la ONU, procurando el cuidado ambiental en todas sus acciones de gobierno. A tal fin, creó en el año 2019 la Comisión Interdepartamental de la Agenda 2030 y ha desarrollado indicadores propios para la evaluación de los ODS. El seguimiento de los mismos permite comprobar el grado de implantación de la Agenda 2030 en Galicia y hacer un análisis de las políticas que se ejecutan en materia de desarrollo sostenible. Además desde el 2021 los presupuestos autonómicos están alineados con ODS."
2025 Disclosure Cycle,779465,CDP,72920,Autonomous Community of Galicia,States & Regions,Europe,Spain,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,2,Row 2,Other: Convenio sobre la diversidad biológica,"En materia de conservación del patrimonio natural y relacionados con la protección forestal, se han suscrito diversos convenios internacionales por parte del Reino de España: \n- Convenio relativo a los Humedales de Importancia Internacional especialmente como Hábitat de Aves Acuáticas, \n- Convenio relativo a la conservación de la vida silvestre y del medio natural en Europa\n- Convención sobre la conservación de las especies migratorias de animales silvestres\n- Convenio sobre la diversidad biológica y el Protocolo de Nagoya sobre acceso a los recursos genéticos y participación justa y equitativa en los beneficios que se deriven de su utilización,\n- CITES: Convención sobre el Comercio Internacional de Especies Amenazadas de Fauna y Flora Silvestres\n- Convención de las Naciones Unidas para la lucha contra la desertificación.\n\n"
2025 Disclosure Cycle,779465,CDP,72920,Autonomous Community of Galicia,States & Regions,Europe,Spain,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,3,Row 3,Other: UNESCO: Reservas de la Biosfera (MaB),"Galicia cuenta con siete Reservas de la Biosfera que representan el 25% del territorio de la Comunidad Autónoma. Además, una de ellas es interautonómica (con Asturias) y otra internacional (con Portugal). Forman parte de ellas una gran cantidad de espacios naturales protegidos pertenecientes a la Red Natura 2000, incluyendo ZECs y ZEPAs, así como varios Monumentos Naturales y espacios protegidos por otras figuras de conservación internacional (RAMSAR). \nEn ellas, se promueve la conservación de los recursos naturales y el desarrollo económico y social de las comunidades locales, habida cuenta todas las necesidades sociales, culturales, económicas de sus pobladores, junto con una función de conocimiento científico y apoyo logístico, para alentar actividades de investigación, educación, formación para la conservación y el desarrollo sostenible."
2025 Disclosure Cycle,779465,CDP,72924,Autonomous Community of Navarre,States & Regions,Europe,Spain,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,2,Row 2,"Other: Navarra es socia del IEFC, Instituto Europeo del Bosque Cultivado y es socia de PEFC, sistema internacional que garantiza la gestión forestal sostenible",
2025 Disclosure Cycle,779465,CDP,72926,Autonomous Community of the Basque Country,States & Regions,Europe,Spain,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,Other: Forest Europe Growing Life: https://foresteurope.org/,El País Vasco participa en la organización Union of Foresters of Southern Europe como parte de la red de observatorios para el cuidado de los bosques. Se puede consultar más información de manera libre en el link: https://usse-eu.org/es/inicio
