disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Use of carbon credits,col2_Identify target,col3_Emissions purchased/sold (metric tonnes CO2e),col4_Verified to which standard,col5_Outline the crediting period and country(ies)/area(s) where offsetting efforts are or will be taking place,col6_Comment
2025 Disclosure Cycle,779465,CDP,49333,"City of Louisville, KY",City,North America,United States of America,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,
2025 Disclosure Cycle,779465,CDP,49335,"Metropolitan Government of Nashville and Davidson County, TN",City,North America,United States of America,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,Offset credit transactions purchased from outside of the boundary,,,,See comment. Future plans are shown on this dashboard: https://dashboards.nashville.gov/t/Metro/views/SolarProductionDashboard/Home?%3Aembed=y&%3AisGuestRedirectFromVizportal=y\n,"Metro is committed to purchasing RECs via TVA's Green Invest program. Metro's 40MW portion of of a 200MW project based in Tullahoma, TN is expected to come online in second quarter 2027.\n\nMetro's Department of General Services continues to purchase RECs from Nashville Electric Service's Music City Solar project, as detailed in section 9.2. \n\nMetro is actively pursuing public private partnerships to allow additional RECs to flow to Metro and move us toward our RPS goals. "
2025 Disclosure Cycle,779465,CDP,49342,"City of Rochester, NY",City,North America,United States of America,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,
2025 Disclosure Cycle,779465,CDP,49360,City of Tshwane,City,UKWW,South Africa,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,We have not considered carbon credit purchases or selling for now.
2025 Disclosure Cycle,779465,CDP,49367,Freetown City,City,UKWW,Sierra Leone,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,The #FreetownTheTreeTown project under which carbon credits will be sold is bounded across the city of Freetown and Western Area Rural District Council administrative boundaries. This means that carbon credits will be offered for carbon offsets outside of the Freetown administrative boundary but within the boundary of the project area which includes a partnership with Western Area Rural District Council. 
2025 Disclosure Cycle,779465,CDP,49389,Kyoto City,City,Japan,Japan,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,
2025 Disclosure Cycle,779465,CDP,50154,City of Turku,City,Europe,Finland,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",2,Row 2,Other: Not yet specified,Target 3,,Not yet verified,,"Both strengthening local carbon sinks and developing offsetting measures are emphasized in the Turku Climate Plan. Turku has an active role in several research and development projects in these fields. \n\nTurku participated in the KUNTANIELU research project, alongside three other cities, the Finnish Environment Institute (Syke), Natural Resources Institute Finland (Luke), and the University of Helsinki. The project, under the Ministry of Agriculture and Forestry's Catch the Carbon program, aimed to help municipalities increase net carbon sinks in the land use sector and establish municipal-level offsetting. It provided guidance on verifying carbon sinks, enhanced knowledge for implementing offsetting, and explored the potential for linking municipal carbon offsetting to voluntary ecological compensation. More information provided here: https://www.turku.fi/sites/default/files/document/land-use-strategies-for-climate-action-and-biodiversity_kuntanielu.pdf.\n"
2025 Disclosure Cycle,779465,CDP,50203,Gaziantep Metropolitan Municipality,City,UKWW,Türkiye,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,
2025 Disclosure Cycle,779465,CDP,50235,City of Kraków,City,Europe,Poland,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,Krakow does not use carbon credits sold or purchased outside the jurisdiction or target boundaries
2025 Disclosure Cycle,779465,CDP,50357,Ciudad de Mendoza,City,Latin America,Argentina,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,Ninguno
2025 Disclosure Cycle,779465,CDP,50361,Ayuntamiento de Hermosillo,City,Latin America,Mexico,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,The legal framework is under development.
2025 Disclosure Cycle,779465,CDP,50371,Municipalidad de Córdoba,City,Latin America,Argentina,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,La Municipalidad de Córdoba cuenta con el Inventario de Gases de Efecto Invernadero (GEI) y con el Plan de Acción Climática. Por lo que ahora se plantea empezar a identificar qué proyectos tienen potencial para generar créditos de carbono.
2025 Disclosure Cycle,779465,CDP,50373,Municipalidad de Rosario,City,Latin America,Argentina,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,Actualmente no tenemos como objetivo utilizar los mercados de carbono para cumplir nuestras metas
2025 Disclosure Cycle,779465,CDP,50375,Ayuntamiento de Chihuahua,City,Latin America,Mexico,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,"Actualmente el Municipio de Chihuahua no tiene considerado la compra, ni la venta de créditos de carbono, sin embargo, existe la posibilidad de que en un futro el municipio se incorpore a u proyecto de bonos de carbono."
2025 Disclosure Cycle,779465,CDP,50382,Municipio de Mérida,City,Latin America,Mexico,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,
2025 Disclosure Cycle,779465,CDP,50383,Prefeitura de Sorocaba,City,Latin America,Brazil,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,
2025 Disclosure Cycle,779465,CDP,50384,Prefeitura de Florianópolis,City,Latin America,Brazil,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,
2025 Disclosure Cycle,779465,CDP,50390,Prefeitura de Teresina,City,Latin America,Brazil,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,"Atualmente, Teresina não possui previsão de ações de compra e venda de créditos de carbono."
