disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Percentage of region's natural forest area characterized by the forest ownership category,col2_Please explain
2025 Disclosure Cycle,779465,CDP,73013,Campeche,States & Regions,Latin America,Mexico,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,2,Public land designated for community groups and/or Indigenous peoples,59.96,34481.2
2025 Disclosure Cycle,779465,CDP,73013,Campeche,States & Regions,Latin America,Mexico,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,3,Private land owned by community groups and/or Indigenous peoples,0,0
2025 Disclosure Cycle,779465,CDP,73013,Campeche,States & Regions,Latin America,Mexico,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,4,Private land owned by individuals or firms,21.04,12099.47
2025 Disclosure Cycle,779465,CDP,73013,Campeche,States & Regions,Latin America,Mexico,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,5,"Other, please specify",19,10926.33
2025 Disclosure Cycle,779465,CDP,73023,Jalisco,States & Regions,Latin America,Mexico,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,1,Public land administered by government,8.26,"% del superficie total del Estado de Jalisco que se encuentra bajo un esquema de Área Natural Protegida, pero que sea ANP no significa que la propiedad sea del gobierno (RN-SEMADET)."
2025 Disclosure Cycle,779465,CDP,73023,Jalisco,States & Regions,Latin America,Mexico,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,2,Public land designated for community groups and/or Indigenous peoples,,No existe esta categoría en Jalisco. 
2025 Disclosure Cycle,779465,CDP,73023,Jalisco,States & Regions,Latin America,Mexico,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,3,Private land owned by community groups and/or Indigenous peoples,33.69,Integra Ejidos y Comunidades Indígenas (RN-SEMADET).
2025 Disclosure Cycle,779465,CDP,73023,Jalisco,States & Regions,Latin America,Mexico,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,4,Private land owned by individuals or firms,33.19,Incluye propiedad privada (RN-SEMADET)
2025 Disclosure Cycle,779465,CDP,73023,Jalisco,States & Regions,Latin America,Mexico,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,5,"Other, please specify",33.12,"*Superficie de Ejidos Jalisco (RN-SEMADET) sobre ejidos https://es.wikipedia.org/wiki/Ejido#:~:text=El%20ejido%20es%20un%20tipo,posibilidad%20de%20venderse%20o%20heredarse."
2025 Disclosure Cycle,779465,CDP,73088,State of Hesse,States & Regions,Europe,Germany,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,1,Public land administered by government,75,"Municiplaities own 36%, the state of Hesse 38% and the Federal Republic of Germany 1%"
2025 Disclosure Cycle,779465,CDP,73088,State of Hesse,States & Regions,Europe,Germany,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,2,Public land designated for community groups and/or Indigenous peoples,0,no further information
2025 Disclosure Cycle,779465,CDP,73088,State of Hesse,States & Regions,Europe,Germany,Public,Q10.1.1,Please provide details of your region's natural forest area by different categories of forest ownership.,3,Private land owned by community groups and/or Indigenous peoples,0,no forther information
