disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Total annual jurisdiction-wide electricity consumption in MWh,col2_Data source used to provide percentage breakdown of consumption by energy type,col3_Percentage of total consumption from coal (%),col4_Percentage of total consumption from gas (%),col5_Percentage of total consumption from oil (%),col6_Percentage of total consumption from nuclear (%),col7_Percentage of total consumption from hydropower (%),col8_Percentage of total consumption from bioenergy (biomass and biofuels) (%),col9_Percentage of total consumption from wind (%),col10_Percentage of total consumption from geothermal (%),col11_Percentage of total consumption from solar (%),col12_Percentage of total consumption from waste to energy (excluding biomass component) (%),col13_Percentage of total consumption from wave (%),col14_Percentage of total consumption from tidal (%),col15_Percentage of total consumption from other renewable sources (%),col16_Percentage of total consumption from other non-renewable sources (%),col17_Year data applies to,col18_Comment
2025 Disclosure Cycle,779465,CDP,31090,"District of Columbia, DC",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,9945583,Other data source: eGRID region: RFC-East,4.7,54.1,0.1,36.4,1.1,0.9,1,0,1,0.0,0,0.0,0.0,0.7,2023,Data from US Environmental Protection Agency's eGRID for RFC East.
2025 Disclosure Cycle,779465,CDP,31109,City of Melbourne,City,South East Asia & Oceania,Australia,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,2703455.49,Regional/State-level data,63.9,2.7,0.0,0.0,5.3,0.0,21.2,0.0,15,0.0,0.0,0.0,0.0,5,2024,Source mix for the State of Victoria is reported below. Victoria also exported 13.6% to other states which is why the above percentages add up to 113.7%. Data from Open NEM https://explore.openelectricity.org.au/energy/vic1/?range=all&interval=1y&view=discrete-time&group=Detailed
2025 Disclosure Cycle,779465,CDP,31111,Tokyo Metropolitan Government,City,Japan,Japan,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,76991264,Utility-level data,21,52,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21,2021,"・電力の総年間消費量は、「東京都における最終エネルギー消費及び温室効果ガス排出量総合調査（2022年度実績）」の数値をMWhに換算し掲載している。\n・内訳は、都内の電力供給の多くを占める東京電力エナジーパートナー株式会社の2022年度報告値を掲載している。大型水力以外の再生可能エネルギーについては発電方法別の内訳がないため、「その他の再生可能エネルギー源からの総消費量の割合」に計上している。なお、「その他の非再生可能エネルギー源により発電された電力の総消費量の割合」には、FIT電力（7%）及び卸電力取引所（6%）を含めている。\nhttps://www.tepco.co.jp/about/ir/library/annual_report/pdf/202309tougou-j.pdf p99\n・The total annual consumption of electricity refers to the figures from the \'Final Energy Consumption and Greenhouse Gas Emissions in Tokyo (FY2022)\', converted to MWh.\n・The percentages are from the FY 2022 values reported by TEPCO Energy Partner, Incorporated, which accounts for much of the power supplied in Tokyo. Renewable energy is included in 3% of \'Other sources\' because there is no breakdown by power generation method except for large hydropower. Electricity by FIT system (7%) and Japan Electric Power Exchange are included in the “Other non-renewable sources”.\nhttps://www.tepco.co.jp/about/ir/library/annual_report/pdf/202309tougou-j.pdf p99"
2025 Disclosure Cycle,779465,CDP,31112,Kaohsiung City Government,City,China,East Asia,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,251440000,Jurisdiction-level data,31.1,47.2,1.4,4.7,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.1,2024,"The power generation in Taiwan is provided by Taipower on a national level, and there is no specific breakdown of the generation sources for individual cities. Therefore, data is available only at the national level. In 2024, the total electricity generation by Taipower was 251.44 billion kilowatt-hours. The breakdown of generation sources is as follows: Thermal power: 79.7%, Coal: 31.1%, Fuel oil: 1.4%, Natural gas: 47.2%, Co-generation (excluding garbage and biogas): 2.4%, Renewable energy: 11.9% (including hydropower and co-generation from garbage and biogas)Pumped storage hydropower: 1.2%, Nuclear power: 4.7% Source: https://www.taipower.com.tw/2289/2363/2367/2372/10312/normalPost"
2025 Disclosure Cycle,779465,CDP,31114,City of Sydney,City,South East Asia & Oceania,Australia,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,3025710,Regional/State-level data,60.5597,1.98,0.0,0.0,3.7,0.2,7.7,0.0,20,0.0,0,0,0,8.9,2024,Not possible to report energy mix at the local level. NSW state based energy mix provided.
2025 Disclosure Cycle,779465,CDP,31115,City of Johannesburg,City,UKWW,South Africa,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,9758000,Regional/State-level data,90,0.5,0.0,3.9,0,0.3,1.5,0,2,0.3,0.0,0.0,0.5,0.1,2023,"The updated Energy Plan 2025 draws its baseline energy data from Johannesburg's 2023/24 electricity profile, which establishes total consumption at 9,758 GWh (9.76 million MWh). The City's electricity supply is dominated by purchases from Eskom (83%), with Eskom's generation portfolio nationally still heavily coal-dependent (about 73% coal). Locally, the Kelvin Power Station adds another 11.5% of supply, also coal-fired, while the remaining 4.5% comes from independent power producers (IPPs), rooftop solar, and small embedded generation projects.\nThe report also incorporates national-level energy data from the Integrated Resource Plan (IRP 2019 and draft 2023), the Electricity Regulation Amendment Act (2024), and the Climate Change Act (2024), which together frame South Africa's planned energy transition. For projections, the Roadmap uses modelling outputs from the Needs Analysis Report (2024) and scenarios that reflect national trends such as coal plant decommissioning, Eskom's grid composition, and renewable energy integration through the REIPPPP programme.\nIn addition, the Roadmap considers specific local initiatives—such as waste-to-energy plants, gas-to-power projects (e.g. John Ware and Durban Street stations), and rooftop solar PV growth—as part of Johannesburg's embedded generation capacity. Wheeling arrangements, particularly through the National Wheeling Framework (2023), also inform future renewable energy access by allowing the City to procure solar and wind power from resource-rich provinces."
2025 Disclosure Cycle,779465,CDP,31117,"City of Toronto, ON",City,North America,Canada,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,24587150.48,Regional/State-level data,0.0,10.35,0.0,53.66,25.87,0.2,9.4,0,0.51,0,0,0,0.01,,2022,"Total annual jurisdiction-wide consumption in MWh is based on the City of Toronto's 2022 Sector-Based Emissions Inventory: 24,587,150.48 MWh from total Toronto Hydro consumption for the entire City.\n\nPercentage of consumption from various sources from the Independent Electricity System Operator (IESO) 2022 Energy Output (TWh) - https://ieso.ca/Corporate-IESO/Media/Year-End-Data/2022"
2025 Disclosure Cycle,779465,CDP,31149,Municipality of Athens,City,Europe,Greece,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,2861962.84,National-level data,22.94,47.91,11.25,1.41,4.04,0.29,4.53,0.09,5.72,0,0,0.0,0,0.69,2023,"Electricity consumption refers to the consumption within the city from stationary energy consumption and transport (both scope 2 and 3). Electricity mix is at national level, regarding residual energy mix (energy mix both from national production and electricity imports). Source of data: https://www.dapeep.gr/wp-content/uploads/2024/07/%CE%95%CE%9D%CE%95%CE%A1%CE%93%CE%95%CE%99%CE%91%CE%9A%CE%9F-%CE%9C%CE%95%CE%99%CE%93%CE%9C%CE%91-2023.pdf\n\nWithin Greece, no electricity production occurs from nuclear power. Nonetheless, imported energy derives from nuclear power plants. Under \'coal\', both \'lignite\' and \'hard coal\' consumption are included. Consumption from waste energy is reported under \'biomass\' (no separate data available)."
2025 Disclosure Cycle,779465,CDP,31150,Bangkok Metropolitan Administration,City,South East Asia & Oceania,Thailand,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,39629774,Jurisdiction-level data,20.42,59.65,0.04,0,0,0,0,0,0,0,0,0,19.89,0,2024,"- All of the electricity consumption in Bangkok distributed by Metropolitan Electricity Authority (MEA). MEA bought electricity from Electricity Generating Authority of Thailand (EGAT) more than 99.4% and they bought electricity less than 0.6% from very small power producer (VSPP) within Bangkok area. Therefore, we calculated the percentage breakdown of consumption by energy type using data from EGAT and MEA (VSPP)."
2025 Disclosure Cycle,779465,CDP,31153,City-State of Berlin,City,Europe,Germany,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,11823,Other data source: City-wide electricity mix reported,32.69,61.45,0.4055,0.0,0.0,1,0.0,0.0,1.5,0.0,0.0,0.0,0.0,2.53,,
2025 Disclosure Cycle,779465,CDP,31155,City of Buenos Aires,City,Latin America,Argentina,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,10974850,National-level data,0.53,48.5,4.2,7.3,24.6,0.8,11.35,0,2.72,0,0.0,0.0,0.0,0.0,2024,"La Ciudad se abastece de la matriz eléctrica nacional, por lo que este mix define los aportes porcentuales de cada fuente. La administración de la matriz de electricidad y la política para la incorporación de fuentes renovables es facultad del Gobierno Nacional por lo que la Ciudad de Buenos Aires no tiene ningún tipo de autoridad sobre la composición de la matriz de electricidad, no siendo factible para la Ciudad de Buenos Aires adoptar metas de incorporación de energías renovables en su mix energético.\n"
2025 Disclosure Cycle,779465,CDP,31156,Municipality of Curitiba,City,Latin America,Brazil,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,4781949.1,Regional/State-level data,1.9,6.3,1.5,2.1,55.3,8.1,14.4,0,9.3,0,0,0,1.5,0,2024,"A Matriz Energética vem do Balanço Energético Nacional (BEN), referente ao ano de 2024, para o Sistema Interligado Nacional (SIN). Link: https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-885/topico-767/BEN_S%C3%ADntese_2025_PT.pdf\n\nIPARDES - Caderno Estatístico Municipal, 2024.\n\nhttps://www.ipardes.pr.gov.br/Pagina/Caderno-Estatistico-Municipal"
2025 Disclosure Cycle,779465,CDP,31164,Ho Chi Minh City,City,South East Asia & Oceania,Viet Nam,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,30177000,Regional/State-level data,,,,,,,,,,,,,,,2024,
2025 Disclosure Cycle,779465,CDP,31165,City of Heidelberg,City,Europe,Germany,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,735091,National-level data,21.4,15.8,1,0,4.8,8.7,27.9,0.1,14.9,1.1,0,0,0,4.7,2024,Total consumption data: ifeu 2022. National level electricity production data (DESTATIS 2024) is preliminary and might change.
2025 Disclosure Cycle,779465,CDP,31166,Jakarta City Government,City,South East Asia & Oceania,Indonesia,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,36992354,Regional/State-level data,0,99,0.1,0,0,0,0,0,0,0,0,0,0,0,2023,"Sektor energi merupakan sektor penting yang dibutuhkan dalam menunjang aktivitas ekonomi yang cukup tinggi di DKI Jakarta. Dengan jumlah penduduk DKI Jakarta tahun 2024 sebanyak 10.677.975 jiwa dan PDRB sebesar Rp3.679,36 triliun, energi yang dibutuhkan relatif besar yang meliputi bahan bakar minyak, gas, batubara dan listrik. Kebutuhan bahan bakar di DKI Jakarta dipenuhi dari beberapa perusahaan migas dan supplier batubara. Pemenuhan kebutuhan bakar minyak disuplai oleh Pertamina, Shell, Petronas, Total dan lain-lain melalui stasiun pengisian bahan bakar minyak. Sedangkan kebuthan gas yang digunakan sebagian besar di rumah tangga dan komersial dipenuhi dari jaringan pipa gas PGN dan supplier LPG (Sebagian besar Pertamina). Batubara yang digunakan di sektor industri disuplai dari supplier batubara. Selain bahan bakar minyak dan gas, energi yang berperan penting di hampir semua sektor di DKI Jakarta adalah energi listrik yang dipasok dari jaringan listrik grid Jamali."
2025 Disclosure Cycle,779465,CDP,31167,City of Lagos,City,UKWW,Nigeria,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,7599161,Regional/State-level data,0,79.46,0,0,20.37,0.05,0,0,0.12,0,0,0,0,0,2019,"The total annual jurisdiction-wide electricity consumption data provided above is the amount of electricity generated and consumed in Lagos. Estimate was done using year 2019 data as contained in the Power Sector Report:\nEnergy Generated and Sent Out\nand Consumed and Load Allocation for year 2019. See link below;\nhttps://www.nigerianstat.gov.ng/pdfuploads/Power_Generation_-_2019.pdf\n\nOn sources of generation, there are activities around renewable energy and biomass but it is significantly low below 1%. National data was used in this case, see link to data below;\n\nhttps://www.statista.com/statistics/1237541/nigeria-distribution-of-electricity-production-by-source/ \n\n"
2025 Disclosure Cycle,779465,CDP,31169,Government of Hong Kong Special Administrative Region,City,China,"China, Hong Kong Special Administrative Region",Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,46275000,Utility-level data,19.6,55.5,0.4,23.7,0,0.0,0.0,0.0,0.7,0.1,0.0,0.0,0.0,0.0,2024,The figures provided are fuel mix data on sent-out basis. The total % does not add up to 100% due to rounding.
2025 Disclosure Cycle,779465,CDP,31170,Metropolitan Municipality of Lima,City,Latin America,Peru,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,923,National-level data,1.4,92.7,64.3,0,12,13,0,0,0,0,0,0,0,0,2022,"La información puede ser visualizada en https://cdn.www.gob.pe/uploads/document/file/6350382/5575775-balance-nacional-de-energia-2022.pdf?v=1715784589\n(Pag. 65)\n\nEn el caso del uso del viento en el Perú, existen instalaciones de molinos de vientos pequeños para bombeo de\nagua que se encuentran en la costa del país. El uso del viento es difícil de cuantificar por lo cual no se consideró\nparte del presente balance. (pg211)\n"
