disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Total annual jurisdiction-wide electricity consumption in MWh,col2_Data source used to provide percentage breakdown of consumption by energy type,col3_Percentage of total consumption from coal (%),col4_Percentage of total consumption from gas (%),col5_Percentage of total consumption from oil (%),col6_Percentage of total consumption from nuclear (%),col7_Percentage of total consumption from hydropower (%),col8_Percentage of total consumption from bioenergy (biomass and biofuels) (%),col9_Percentage of total consumption from wind (%),col10_Percentage of total consumption from geothermal (%),col11_Percentage of total consumption from solar (%),col12_Percentage of total consumption from waste to energy (excluding biomass component) (%),col13_Percentage of total consumption from wave (%),col14_Percentage of total consumption from tidal (%),col15_Percentage of total consumption from other renewable sources (%),col16_Percentage of total consumption from other non-renewable sources (%),col17_Year data applies to,col18_Comment
2025 Disclosure Cycle,779465,CDP,68267,Sutherland Shire Council,City,South East Asia & Oceania,Australia,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,1078597.7,Regional/State-level data,56.6,2.1,0,0,3.4,0.2,9.7,,22,0,0,0,,0,2024,"Data sourced from NSW governments Open NEM https://explore.openelectricity.org.au/energy/nsw1/?range=1y&interval=1M&view=discrete-time&group=Detailed\n\nData obtained Sept 2025, for the year Sep 24 to Sep 25.\n\nThe MWh for our LGA was sourced from Kinesis/ resilient Sydney data."
2025 Disclosure Cycle,779465,CDP,73295,"City of La Crosse, WI",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,737612.0,Utility-level data,18.0,13.0,0.0,28.0,6.0,0.0,30.0,0.0,4.0,0,0.0,0.0,1.0,0.0,2022,"https://wi.my.xcelenergy.com/s/energy-portfolio/power-generation2022 Energy Mix - Upper Midwest\n\nThere is Waste to Energy in La Crosse, but this was not apart of the total energy Mix of the jurisdiction's energy use. It is used to power a local hospital's heat and water - https://www.gundersenenvision.org/envision/resources/photos/landfill-energy-project"
2025 Disclosure Cycle,779465,CDP,73413,Commune de Cocody,City,UKWW,Côte d'Ivoire,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,3114259.34,Jurisdiction-level data,15.0,23.0,12.0,0.0,45.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0,0,2023,La ville est en plein essor socioéconomique et petit à petit la place de l'utilisation des énergies renouvelables s'affirme. 
2025 Disclosure Cycle,779465,CDP,73742,City of Catbalogan,City,South East Asia & Oceania,Philippines,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,52879,Jurisdiction-level data,87.27,0,0,0,3.2,0,2.83,4.7,2,0,0,0,12.73,87.27,2024,"Based on the available data, Catbalogan City's electricity consumption reflects that more than 10% of the supply mix is sourced from renewable energy (RE), primarily solar and hydro within the Visayas grid. However, the city's local renewable generation capacity remains very limited and falls far short of what is needed to significantly reduce dependence on fossil fuel-based power. Most renewable inputs are attributable to the broader grid supply rather than to projects directly located within the city. This underscores the importance of scaling up local RE initiatives such as rooftop solar, community-based solar farms, and potential small-scale hydro or biogas projects, to complement the regional mix and ensure that Catbalogan's energy transition contributes meaningfully to both mitigation and local resilience."
2025 Disclosure Cycle,779465,CDP,73746,Probolinggo,City,South East Asia & Oceania,Indonesia,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,734236.92,Jurisdiction-level data,98.0,0,0,0,0,0,0,0,2.0,0.1,0,0,0,0,2024,-
2025 Disclosure Cycle,779465,CDP,73750,Tarakan City,City,South East Asia & Oceania,Indonesia,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,356650.53,National-level data,66.3,16.8,2.54,0,6.59,0.89,0.17,5.73,0.05,0,0,0,0,0,2025|2022|2024|2021|2023,https://web.pln.co.id/statics/uploads/2021/10/ruptl-2021-2030.pdf
2025 Disclosure Cycle,779465,CDP,73810,"Miami-Dade, FL",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,1172652,Utility-level data,0.7,69.2,0.1,20,0,0,0,0,5.4,0,0,0,0,4.7,2023,https://www.fpl.com/content/dam/fplgp/us/en/news/2023/energy-notes-q3-2023.pdf\n
2025 Disclosure Cycle,779465,CDP,73879,Roskilde Municipality,City,Europe,Denmark,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,417222.6,Regional/State-level data,1,2,1,11,16,22,39,0,6,3,0,0,0,0,2023,The data was provided by the Danish TSO at the regional level.
2025 Disclosure Cycle,779465,CDP,74371,Himeji,City,Japan,Japan,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,5785199,National-level data,24.4,20.6,35.7,4.1,3.7,0,0,0,0,0,0,0,11.4,0,2023,
2025 Disclosure Cycle,779465,CDP,74540,"Village of Hastings-on-Hudson, NY",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,36053.0,Utility-level data,0.0,20.83,0.11,0.0,0.0,0.0,10.11,0.0,41.92,0.0,0.0,0.0,0.0,27.03,,Percentages taken from ConEdison ESG Report https://investor.conedison.com/static-files/9197516e-d29f-4491-95dd-767326a1d851
2025 Disclosure Cycle,779465,CDP,74594,"City of Boynton Beach, FL",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,0.03,Jurisdiction-level data,0,80,0,0,0,0,1,0,20,0,0,0,0,0,2025,"Percentages estimated based on information uploaded to our greenhouse gas emissions tracking. The City is offsetting approximately 20% of its electric consumption through the use of solar, either installed on city buildings or through the FPL SolarTogether Program."
2025 Disclosure Cycle,779465,CDP,74670,Antalya Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,7316018,National-level data,39.1,20.5,0,0.0,17.1,3,9.9,1.6,4.5,,,,,,2023|2019,"The total electricity consumption value (7.316.018 MWh) is derived from the GHG inventory prepared by Antalya Metropolitan Municipality. However, specific breakdowns of electricity consumption by source (e.g. coal, gas, renewables) are not available at the jurisdictional level. Therefore, the national-level energy mix of Türkiye in 2023 — as published by TEİAŞ (Turkish Electricity Transmission Corporation) — has been adopted as a proxy.\n\nTürkiye operates an interconnected grid system, meaning that cities consume electricity from a national pool rather than directly from local generation sources. Hence, the 2023 national electricity generation mix is considered representative of the electricity consumed within the jurisdiction."
2025 Disclosure Cycle,779465,CDP,74673,İzmir Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,12978898,National-level data,35.2,18.9,0.11,0,21.5,1.19,10.5,3.2,7.5,0,0.0,0.0,0,0,,https://seffaflik.epias.com.tr/home
2025 Disclosure Cycle,779465,CDP,74690,Municipality of L'Hospitalet de Llobregat,City,Europe,Spain,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,2208450,Jurisdiction-level data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,"Los consumos de electriciad don de garatia de origen certificado, peeo pero no dispoemos del dealle de la fuentes"
2025 Disclosure Cycle,779465,CDP,826217,Prefeitura de Francisco Morato,City,Latin America,Brazil,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,181838.021,Other data source: Municipal,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,"Os dados de consumo de energia elétrica por setor, tem como fonte o “Anuário\nde Energéticos por Município no Estado de São Paulo- 2025” referentes ao ano de\n2024, revelam uma distribuição variada no panorama energético da cidade. O consumo\ntotal atingiu 189866,59 MWh."
2025 Disclosure Cycle,779465,CDP,826396,Municipality of Sintra,City,Europe,Portugal,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,959163.0,National-level data,0.9,23.9,40.6,0.0,9.7,2.9,9.5,0.1,1.6,0.0,0.0,0.0,0.0,0.0,2021,
2025 Disclosure Cycle,779465,CDP,826405,Municipality of Maia,City,Europe,Portugal,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,1447935,National-level data,0,21.2,2.5,0,30.3,7.7,26.8,0.4,10.5,0,0,0,0,0.4,2023,Os valores acima correspondem ao mix energético associado à produção de energia elétrica. Informação DGEG - Disponibilidade de energia elétrica para consumo (2000-2023):\n https://www.dgeg.gov.pt/pt/estatistica/energia/eletricidade/producao-anual-e-potencia-instalada/\n
2025 Disclosure Cycle,779465,CDP,826425,Municipality of Caldas da Rainha,City,Europe,Portugal,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,197222.1,Other data source: Utilizados dados de consumo do Município e dados da DGEG (dados nacionais e regionais),0,56.6,0,0,10.8,0,32.4,0,0.2,0,0,0,0,0,2021,
2025 Disclosure Cycle,779465,CDP,826426,Municipality of Covilhã,City,Europe,Portugal,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,684128,Jurisdiction-level data,0,14,34,0,0,10,0,0,1,0,0,0,31,10,2023,-
2025 Disclosure Cycle,779465,CDP,826431,Municipality of Loulé,City,Europe,Portugal,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,562001.965,National-level data,,16,,,26.2,8.8,27.1,0.5,7.9,1.8,,,,1.8,2023,"1 - Os 11,7% em falta dizem respeito à energia elétrica consumida proveniente de importações. \n\n2 - Dados provisórios para o ano de 2023. Direção Geral de Energia e Geologia (https://www.dgeg.gov.pt/pt/estatistica/energia/balancos-energeticos/balancos-energeticos-nacionais/)."
2025 Disclosure Cycle,779465,CDP,831234,"City of Fredericton, NB",City,North America,Canada,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,857358,Regional/State-level data,16,7,12,28,27,5,5.2,0.0,0.0,0.0,0.0,0.0,0,0,2024,Other sources: Imported renewable (from Quebec)Data source: NB Power (2022 grid mix information)
2025 Disclosure Cycle,779465,CDP,831923,Muğla,City,UKWW,Türkiye,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,11203766.0,Jurisdiction-level data,34.5,23.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,42.3,0,2015,"Total renewable energy: % 42,3 (waste, geothermal, Solar, Hydropower, Wind)"
2025 Disclosure Cycle,779465,CDP,832300,North Tyneside Council,City,UKWW,United Kingdom,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,697700,National-level data,0.9,35,0.6,14.2,2,14.1,29.2,0.0,5,3.9,0.0,0.0,0,0,2024,"The consumption breakdown is UK wide but the vast majority of North Tyneside's electricity is sourced from the national grid, so these figures are representative of North Tyneside. These are available here: https://assets.publishing.service.gov.uk/media/688b52e67b28774ca0437f09/DUKES_2025_Chapters_1-7.pdf"
2025 Disclosure Cycle,779465,CDP,833284,West Midlands Combined Authority,City,UKWW,United Kingdom,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,9464494,National-level data,0.53,24.98,0,14.3,1.25,6.84,29.38,0,4.72,0,0,0,1.22,0,2024,2024 data from NESO: https://www.neso.energy/data-portal/historic-generation-mix/historic_gb_generation_mix\n\nOther missing components:\n\nImports: 16.22%\nStorage: 0.61%\n\n(not categorised as either renewable or non-renewable due to uncertainty of origin of energy)
2025 Disclosure Cycle,779465,CDP,834126,Dobong-gu District of Seoul,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,899016,Jurisdiction-level data,34.3,29.2,0.4,27.4,0.6,0,0,0,7.5,0,0,0,0.6,0,2023,"바이오에너지, 풍력, 지열, 조력, 폐기물 에너지화 등 소비 비율은 너무 낮아 0으로 표시하였으며 기타 재생에너지원에 포함되어 있음\n\n출처: 한국전력공사 월별 전력통계속보, 연도별 한국전력통계"
2025 Disclosure Cycle,779465,CDP,834273,Municipality of Lautaro,City,Latin America,Chile,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,159.7,Utility-level data,0,0,0,0,100,0,0,0,0,0,0,0,0,0,2024|2023,"La fuente de energía para abastecer la luminaria publica de la ciudad de Lautaro y la localidad de Pillanlebún de la comuna de Lautaro, corresponde a un sistema centralizado, cuya empresa que abastece el 100% de la energía de las calles, es en base a fuentes de energía renovables convecionales, tal es el caso por medio de plantas Hidroelectricas. "
2025 Disclosure Cycle,779465,CDP,834284,Municipality of Salamanca,City,Latin America,Mexico,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,381569,Jurisdiction-level data,0,100,0,0,0,0,0,0,0,0,0,0,0,0,2022,
2025 Disclosure Cycle,779465,CDP,834515,Şanlıurfa Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,6463900,National-level data,36.4,21.1,0.2,0,19.7,3,10.5,3.4,5.7,0,0,0,0,0,2023,Source :https://www.epdk.gov.tr/Home/En
2025 Disclosure Cycle,779465,CDP,838937,Mersin Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,5653000,National-level data,36.4,21.1,0.2,0,19.7,3,10.4,3.5,5.7,0,0,0,0,0,2023,No comment
2025 Disclosure Cycle,779465,CDP,839572,Putrajaya City,City,South East Asia & Oceania,Malaysia,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,1102655.72,Jurisdiction-level data,60,40,0,0,0,0,0,0,0.5,0,0,0,0,0,2024,High-quality data for Putrajaya from Tenaga Nasional Berhad (TNB) & Sustainable Energy Development Authority (SEDA) Malaysia
2025 Disclosure Cycle,779465,CDP,839666,Municipio de Escuintla,City,Latin America,Guatemala,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,105106.22,Regional/State-level data,2,1,1,0,64,15,6,7,5,0,0,0,0,0,2022,"\nEstos datos provienen de la empresa eléctrica de Guatemala EEGSA, donde el total de energía renovable corresponde al 67 %"
2025 Disclosure Cycle,779465,CDP,840131,Tiruchirappalli City Municipal Corporation,City,India,India,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,1301.07,Jurisdiction-level data,,,,,,,,,,,,,1,,,
2025 Disclosure Cycle,779465,CDP,840158,"City of San Fernando, La Union",City,South East Asia & Oceania,Philippines,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,3242.29,Jurisdiction-level data,0,0,0,0,0,0,0,0,7.22,0,0,0,0,92.77,2024,Only Solar and Non-renewable sources are the main energy source of the jurisdiction.
2025 Disclosure Cycle,779465,CDP,840161,Municipality of Del Carmen,City,South East Asia & Oceania,Philippines,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,12000,Jurisdiction-level data,55,0,2,0,31,1,0,2,9,0,0,0,43,57,2023,Del Carmen's electricity is supplied entirely through the Mindanao grid via SIARELCO. The local government is promoting rooftop solar for households and public buildings to gradually raise the share of renewables. Updated figures will be provided once SIARELCO releases its next annual energy sales report.
2025 Disclosure Cycle,779465,CDP,840194,Tepebaşi Municipality,City,UKWW,Türkiye,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,538119.36,Jurisdiction-level data,0,64.83,14.78,0,0,0,0,0,0,0,0,0,0,0.6,2023,-
2025 Disclosure Cycle,779465,CDP,840313,Municipalidad de Cerro Navia,City,Latin America,Chile,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,291507,Jurisdiction-level data,,,,,,,,,,,,,60,40,2023,"Este es el consumo calculado para la comuna de Cerro Navia según datos de Estrategia Energética local de la comuna de Cerro Navia, en donde esta fuente de electricidad proviene del Sistema Eléctrico Nacional (SEN), el cual está compuesto por una mezcla de fuentes de generación:\n\nHidroelectricidad (centrales de embalse y de pasada, principalmente en el sur y zona centro-sur), biomasa y geotermia en menor proporción y diésel (uso de respaldo).\n\nEn cuanto a su composición principalmente proviene en un >60% renovables (solar, eólica, hidro, biomasa, geotermia) y <40% fósiles (carbón, gas, diésel). Y cada año aumenta la participación renovable, sobre todo solar y eólica."
2025 Disclosure Cycle,779465,CDP,840428,Hua-Hin Municipality,City,South East Asia & Oceania,Thailand,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,454987.58,Jurisdiction-level data,0,100,0,,0,0,0,,0,,,0,0,0,2021,
2025 Disclosure Cycle,779465,CDP,840914,Prefeitura de Cáceres (Brasil),City,Latin America,Brazil,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,148975.782,Jurisdiction-level data,2.7,13.2,2.8,2.2,55.3,7.9,11.0,0.0,2.6,0.0,0.0,0.0,0.0,2.3,,"Foram utilizados o anuário do ano de 2022,fornecido pela EPE"
2025 Disclosure Cycle,779465,CDP,840927,Prefeitura de São Cristóvão,City,Latin America,Brazil,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,90618.5,Jurisdiction-level data,0,0,0,0,90,0,0,0,10,0,0,0,0,0,2023,Dados informados pela empresa fornecedora de energia.
2025 Disclosure Cycle,779465,CDP,841976,Dhulikhel Municipality,City,India,Nepal,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,32000,Regional/State-level data,0,32,15,0,32,21,0,0,0.15,0,0,0,0,0,2016|2024,...
2025 Disclosure Cycle,779465,CDP,842012,"City of Burlington, ON",City,North America,Canada,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,1575149,Regional/State-level data,0.0,15.7,0.0,50.9,24.1,0.3,8.5,0.0,0.5,0.0,0,0,0,0,2024,"The grid mix is from the IESO. \nYearly Energy Output by Fuel Type\nThe figures report the yearly 2024 output by fuel type. It includes facilities as reported through the real-time supply output above, as well as facilities with installed capacity of less than 20 MW that are transmission-connected. These figures do not include embedded generation. \nhttps://www.ieso.ca/Power-Data/Supply-Overview/Transmission-Connected-Generation\n"
2025 Disclosure Cycle,779465,CDP,842167,Sakarya,City,UKWW,Türkiye,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,4203385.343,National-level data,35.2,18.9,0.2,0,21.5,0,10.5,3.2,7.5,3,0,0,0,0,2024,https://www.teias.gov.tr/faaliyet-raporlari
2025 Disclosure Cycle,779465,CDP,848126,La Democracia,City,Latin America,Guatemala,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,6098.79,Jurisdiction-level data,20.23,11.5,1.58,0,46.92,11.94,3.4,0,4.07,0,0,0,0,0,2024|2022,Estos porcentajes varían cada año por lo que en este año 2025 se informan corresponden al año 2024
2025 Disclosure Cycle,779465,CDP,848135,San Pedro de la Paz,City,Latin America,Chile,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,147016933,National-level data,2,0,0,0,98,0,0,0,0,0,0,0,0,0,2017,No se cuenta con la información especificada como se solicita.\nLos datos de consumo corresponde a alumbrado publico y dependencias municipales y residencial. Sin embargo estos datos son nacionales y se extrapolan a la comuna.\nla Estrategia Energetica Local se hizo el 2018 y no se ha actualizado.
2025 Disclosure Cycle,779465,CDP,848564,City of Zadar,City,Europe,Croatia,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,287628.05,Other data source: Electricity company,28.13,20.75,23.4,11.3,3.96,0.61,4.89,0,3.71,0.0,0.0,0.0,0,3.26,2024,Data from MEI for 2024 and Electricity Company
2025 Disclosure Cycle,779465,CDP,848567,Mid-America Regional Council,City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,45501000,Utility-level data,57.9,9.5,,12.4,,,19.7,0,0,,0,0,0,,2015,
2025 Disclosure Cycle,779465,CDP,848568,"Metropolitan Council, Twin Cities",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,28065511,Regional/State-level data,38,8.3,0.1,8.1,3.9,0.7,39.8,0,1,0,0,0,0,0,2022,
2025 Disclosure Cycle,779465,CDP,848981,City of Ormoc,City,South East Asia & Oceania,Philippines,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,3753.405,Jurisdiction-level data,31.55,1.9,0,0,0,0,0,52.87,13.68,0,0,0,0,1.52,2024,"There is no available data for coal, hydro, wind, oil, and waste-to-energy. Data from the 2022 Community-Based Monitoring System are also incomplete.\n\nThe city is currently working on drafting the Local Energy Code with technical assistance from GCom.\n\nUpdating of the GHG inventory will commence in 2026."
2025 Disclosure Cycle,779465,CDP,849051,Udaipur Municipal Corporation,City,India,India,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,868530,National-level data,50.7,6,0.1,1.6,12.4,2.5,10.2,0.0,16.1,0.1,0.0,0.0,0.0,0,2023,"from the website of Ministry of Power, Government of Indiahttps://powermin.gov.in/en/content/power-sector-glance-all-india"
2025 Disclosure Cycle,779465,CDP,854050,"City of Nanaimo, BC",City,North America,Canada,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,815047,Regional/State-level data,0.0,2,0,0.0,92,1,3,1,1,0.0,0,0,98,2,2024,"Electricity is provided by a Provincial energy utility (BC Hydro) as such local energy data is not available. Percentage breakdown is for energy sources used to generate electricity in the Province and provided from the following data source. BC Hydro's grid is currently using 98% clean renewable energy and have a commitment to provide 100% clean energy by 2030, https://www.cer-rec.gc.ca/en/data-analysis/energy-markets/provincial-territorial-energy-profiles/provincial-territorial-energy-profiles-british-columbia.html#:~:text=About%2087%25%20of%20electricity%20in%20B.C.%20is%20produced%20from%20hydroelectric%20sources."
2025 Disclosure Cycle,779465,CDP,862909,"Blaine County, ID",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,434166.39,Utility-level data,12.3,19.2,0,0,38.2,0,9.7,2.2,6,0,0,0,0,12.4,2024,"Note that total consumption from other non-renewable sources contains all market purchases, as the utility does not break down market purchases into renewable or non-renewable.\n\nAlso note, the utility lumps biomass and geothermal together. The combined value is listed under percentage of total consumption from geothermal."
2025 Disclosure Cycle,779465,CDP,862946,Manta,City,Latin America,Ecuador,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,365067,Jurisdiction-level data,0,0,100,0,0,0,0,0,0,0,0,0,0,0,2022,"Datos proporcionados por la Corporación Eléctrica del Ecuador (CELEC) de las centrales térmicas Manta II, Miraflores y Turbina Miraflores, correspondientes al año 2022 y a la jurisdicción del cantón.\nSegún datos del Censo 2022, el 0.11% de familias en el cantón utilizan energías limpias, representando un avance hacia el uso de fuentes sostenibles en la región."
2025 Disclosure Cycle,779465,CDP,863000,Lo Barnechea,City,Latin America,Chile,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,192493,Jurisdiction-level data,13,18,10,0,25,2,2,0,31,0,0.0,0.0,1,0.0,2023,"El cálculo de el consumo eléctrico se hizo en base a la Estrategia Energética Local (EEL) de Lo Barnechea. El capítulo 6 \'Situación Energética en la Comuna\' detalla la oferta energética y la demanda energética, así como la matriz energética. Si bien la EEL tiene datos para el año 2021, se utilizaron las mismas fuentes (Plataforma de Energía abierta de la CNE) para actualizar los datos para el año 2023. "
2025 Disclosure Cycle,779465,CDP,863190,Renca,City,Latin America,Chile,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,465193509,Utility-level data,11,15.6,8.3,0,21.7,2.1,13.6,0.3,27.1,0,0,0,13.9,0,2024,"Estos valores se obtienen del Reporte Energético del CEN (Coordinador eléctrico nacional), el cual presenta indicadores del Sistema Eléctrico Nacional relacionados con la capacidad instalada, generación de energía eléctrica. Cabe señalar que estos son los datos a nivel nacional y que en Chile contamos con el SEN (sistema eléctrico nacional), al cuál estamos conectados desde Arica hasta Chiloé, y por lo tanto nosotros nos encontramos como comuna de Renca dentro del SEN, por o que nos aplica la misma matriz."
2025 Disclosure Cycle,779465,CDP,863202,Trenggalek Regency,City,South East Asia & Oceania,Indonesia,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,281756.57,Jurisdiction-level data,99.78,0,0,0,0,0,0,0,0.147,0,0,0,0.07,0,2024,"Our city only uses three sources of electricity, namely PLN, solar panel and Renewable Energy Certificate\n"
2025 Disclosure Cycle,779465,CDP,863224,East Central Florida Regional Planning Council,City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,66345196.84,"Other data source: Electricity utility providers reported fuel mix % and energy, for estimated electricity energy NREL FRCC eGRID",8.66,76.84,0,9.33,0,0,0,0,2.93,0,0,0,1.62,0.61,2022,Fuel mix data was supplied by electricity providers and for estimated data the FRCC eGRID NREL factor set was used and fuel mix for FRCC obtained from NREL reports for 2022.
2025 Disclosure Cycle,779465,CDP,863470,Lago Agrio (Nueva Loja),City,Latin America,Ecuador,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,120925.613,Jurisdiction-level data,25,,,,75,,,,,,,,,,2024,Son datos obtenidos de la fuente por seis meses y promediado para la obtención del consumo anual.
