disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Passenger mode share data to report,col2_Passenger mode share: Walking (%),col3_Passenger mode share: Cycling (%),col4_Passenger mode share: Micromobility (including e-scooters) (%),col5_Passenger mode share: Buses (including Bus Rapid Transit) (%),col6_Passenger mode share: Rail/Metro/Tram (%),col7_Passenger mode share: Ferries/ River boats (%),col8_Passenger mode share: Taxis or shared vehicles (e.g. hire vehicles) (%),col9_Passenger mode share: Private motorized transport (%),col10_Passenger mode share: Informal/paratransit/popular transit systems (%),col11_Passenger mode share: Other (%),col12_Year passenger mode share data applies to,col13_Total passenger mode share reported (%),col14_Freight mode share data to report,col15_Freight mode share: Motorcycle / Two wheeler (%),col16_Freight mode share: Light Goods Vehicles (LGV) (%),col17_Freight mode share: Medium Goods vehicles (MGV) (%),col18_Freight mode share: Heavy Goods vehicles (HGV) (%),col19_Freight mode share: Rail (%),col20_Freight mode share: Inland water transport (%),col21_Freight mode share: Other (%),col22_Year freight mode share data applies to,col23_Total freight mode share reported (%),col24_Comment
2025 Disclosure Cycle,779465,CDP,834348,Phuentsholing Municipality,City,India,Bhutan,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,834382,City of Trollhättan,City,Europe,Sweden,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),29.2,11.1,0.7,4.7,2.9,,0.1,50.5,0,0.8,2022,100.00,,,,,,,,,,,Travel habit survey performed in Trollhättan by mobile app. 400 participants.
2025 Disclosure Cycle,779465,CDP,834386,Thung Song Town Municipality,City,South East Asia & Oceania,Thailand,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,834400,Yasothon Town Municipality,City,South East Asia & Oceania,Thailand,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),5,10,0,0,0,0,0,13.4,0,71.6,2024,100.00,,,,,,,,,,,"The data on passenger mode share in our city will be within an estimated framework, and the proportion of private cars will be calculated based on the number of registered vehicles reported by the Department of Land Transport of Yasothon Province in 2024.\nSource: https://docs.google.com/spreadsheets/d/1rr79x9qZ7-g3-loe3FO9GMDDaqkf9wBA/edit?usp=sharing&ouid=106874790102179259778&rtpof=true&sd=true"
2025 Disclosure Cycle,779465,CDP,834515,Şanlıurfa Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),46.2,5,2,23.5,0,0,3,16.2,4.1,0,2022,100.00,Freight mode share as share of trips (%),2,58,20,20,0,0,0,2022,100.00,No Comment
2025 Disclosure Cycle,779465,CDP,838937,Mersin Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),39,2.4,1,30.3,0,0,4,23.3,0,0,2022,100.00,Freight mode share as share of trips (%),5,50,25,20,0,0,0,2022,100.00,No comment\n
2025 Disclosure Cycle,779465,CDP,838939,Kocaeli Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),42,0,0,17,0,0.0,0,24,0,17,2024,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"In the calculation of the walking share in the mode share, walking and cycling have been included. Similarly, micromobility, rail, and tram have been calculated under the main heading of public transport. However, since a distinction could not be made between these, the public transport percentage has been calculated considering all public transport under the category of buses. In \'other\' section, data regarding service vehicles are reported."
2025 Disclosure Cycle,779465,CDP,839572,Putrajaya City,City,South East Asia & Oceania,Malaysia,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),0,0,0,11.3,7.2,0,0,81.5,0,0,2024,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,Freight mode share are not available for Putrajaya
2025 Disclosure Cycle,779465,CDP,839666,Municipio de Escuintla,City,Latin America,Guatemala,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,"Solo se cuenta con el dato del MunicipioParque vehicular año 2017Escuintla 52,161 vehiculos registrados en el municipio La principal fuente de emisión de GEI en el municipio de Escuintla es por el parque vehicular del municipio el cual representa el 47.61% de las emisiones totales. Fuente. Inventario GEI pagina 58 enlace: https://mega.nz/file/xkonXbYb#8lXE7rCnVTct3mb7uaywm3DJg3WsImt0B43T1ANpYJU"
2025 Disclosure Cycle,779465,CDP,839668,Municipio de Iztapa,City,Latin America,Guatemala,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,El Municipio no cuenta con esa información 
2025 Disclosure Cycle,779465,CDP,839669,Municipio de San Jose,City,Latin America,Guatemala,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,"La municipalidad no cuenta con datos sobre transporte solo la cantidad de vehículos registrados en en municipio que haciende a 24,612."
2025 Disclosure Cycle,779465,CDP,840024,Perth and Kinross,City,UKWW,United Kingdom,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),25,2,,7,2,0,0,63,0,1,2023,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,Although there is a data gap at a local level the data provided above has derived from a national level survey and refers to journeys made to work - Transport and travel in Scotland 2023\n\nhttps://www.transport.gov.scot/media/rtapop2p/transport-and-travel-in-scotland-2023-pdf-version.pdf 
2025 Disclosure Cycle,779465,CDP,840075,Unley City Council,City,South East Asia & Oceania,Australia,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),3.8,,0,4.11,2.59,0,0.37,57.94,0,1.77,2021,70.58,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,2021 Census Data - Method of Travel to Work
2025 Disclosure Cycle,779465,CDP,840105,Samdrup Jongkhar Municipality,City,India,Bhutan,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,840113,Bhavnagar Municipal Corporation,City,India,India,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,No Comprehensive Mobility Plan prepared in city and no Mode Share Assessment taken up in the city.\n\nThe public transport ridership assessment is ongoing for the upcoming PM E-Bus Drive scheme for 100 E-Buses operation in the city
2025 Disclosure Cycle,779465,CDP,840118,Jamnagar Municipal Corporation,City,India,India,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,-
2025 Disclosure Cycle,779465,CDP,840131,Tiruchirappalli City Municipal Corporation,City,India,India,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),28.0,6,,26.0,4,0,14,22.0,,,,100.00,,,,,,,,,,,The Department of Directorate of Town and Country Planning has recently conducted a study to develop an Urban Master Plan for 2040.
2025 Disclosure Cycle,779465,CDP,840134,Tirunelveli Municipal Corporation,City,India,India,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),11,2,,23,,,8,56,,,2022,100.00,,,,,,,,,,,Private motorized transport share includes 15% of Four-wheeler and 41% of Two-Wheeler modal share
2025 Disclosure Cycle,779465,CDP,840155,Calapan City,City,South East Asia & Oceania,Philippines,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,840158,"City of San Fernando, La Union",City,South East Asia & Oceania,Philippines,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,We don't have yet data on this.
2025 Disclosure Cycle,779465,CDP,840161,Municipality of Del Carmen,City,South East Asia & Oceania,Philippines,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of vehicle distance travelled (%),70.0,30.0,80.0,2.0,0.0,4.0,10.0,80.0,70,80.0,2023,426.00,,,,,,,,,,,"Municipality of Del Carmen modes of transportation are by air, land and water. From Surigao city, Motor Banca, fast craft or what they called \'Roro\' for cargoes. From Manila and Cebu is by Aircraft, eg. Cebu Pacific, PAL and Sunlight Air. Around the municipality is by private vehicles such as bicycle, scooter, car and motorcycle. "
2025 Disclosure Cycle,779465,CDP,840170,Nowon-gu Municipal Government of Seoul,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),12.3,1.9,1.1,42.75,17.7,0,0,24.25,0,0,2024,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"Among commuting and school travel modes in Nowon-gu, 12.3% are walking and 60.45% are public transportation. Within public transportation, buses account for 42.75% and subways for 17.7%. (The calculation is based on 27.9% using only buses, 2.9% using only subways, half of 29.5% using both bus and subway added equally as 14.75% each, plus half of 0.2% car-bus use allocated as 0.1% to buses, and half of 0.1% car-subway use allocated as 0.05% to subways.) Following this, private cars account for 24.25%(24.1% from car-only use, plus 0.1% allocated to cars from half of the 0.2% car-bus combined use, plus 0.05% allocated to cars from half of the 0.1% car-subway combined use), bicycles for 1.9%, and micro-mobility for 1.1%. However, the proportion related to freight transport is not separately provided at the municipal level.\n\nSource : https://data.seoul.go.kr/dataList/10283/S/2/datasetView.do"
2025 Disclosure Cycle,779465,CDP,840192,Kandy Municipal Council,City,India,Sri Lanka,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,840194,Tepebaşi Municipality,City,UKWW,Türkiye,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,The metropolian municipality is the one responsable for mode data.
2025 Disclosure Cycle,779465,CDP,840195,Laholm Municipality,City,Europe,Sweden,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,840228,"Town of Davie, FL",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of vehicle distance travelled (%),0.19,0.13,0.0,0.0,0,0.0,0.0,99.68,0,0,2023,100.00,,,,,,,,,,,na
2025 Disclosure Cycle,779465,CDP,840269,"Town of Whitby, ON",City,North America,Canada,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of vehicle distance travelled (%),8.3,1.5,0.0,1.8,0.0,0.0,0.0,88.4,,0.0,2020,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"Based on mode share data from CityInSight platform for the Town of Whitby.Whitby's Climate Emergency Response Plan: Phase 2: Mitigation Plan (the Plan) is currently underway and focuses on a low carbon pathway scenario versus a business as usual one. The Plan highlights the actions required for electrification of personal, municipal, transit and commercial vehicles by 2045. Increased methods for active transportation and transit mode share have also been identified, including: 1. Walking: Increase trip share to 25% for distances of 0 to 2km.2. Biking: Increase trip share to 25% for durations ranging from 2 to 10 km.3. Increase transit trips to 15% of total trips by 2045 using a combination of active transportation and transit incentives. Additionally, the Regional Active Transportation under the Durham Community Energy Plan recommends the following under a low carbon scenario:1. Increase / improve cycling & walking Infrastructure - Mode shift 50% of trips less than 1 km to walking by 2050; 50% of trips between 1 and 5 km to cycling by 2050.2. Increased rideshare - Double the percentage of trips that are rideshare by 2050.3. Car-free zones - No personal vehicular trips in dense vehicular centres post-2040. https://cis-community.ssg.coop/whitby/emissions"
2025 Disclosure Cycle,779465,CDP,840313,Municipalidad de Cerro Navia,City,Latin America,Chile,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,\n
2025 Disclosure Cycle,779465,CDP,840427,Hat Yai City Municipality,City,South East Asia & Oceania,Thailand,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,-
2025 Disclosure Cycle,779465,CDP,840428,Hua-Hin Municipality,City,South East Asia & Oceania,Thailand,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,840492,City of Malolos,City,South East Asia & Oceania,Philippines,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,840515,Tangerang Selatan City,City,South East Asia & Oceania,Indonesia,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,840521,City of Denizli,City,UKWW,Türkiye,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),39.0,1.0,0.0,31.0,0.0,0.0,2.0,27.0,0,0.0,2023,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,No comment
2025 Disclosure Cycle,779465,CDP,840914,Prefeitura de Cáceres (Brasil),City,Latin America,Brazil,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,Até o momento não há transporte publico
2025 Disclosure Cycle,779465,CDP,840924,Prefeitura de Alexânia,City,Latin America,Brazil,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,840925,Prefeitura de Indiaroba,City,Latin America,Brazil,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,"O transporte de passageiros é predominantemente por veículos, deslocando passageiros para cidade vizinha (Estância) e a capital (Aracaju). O modal hidroviário é utilizado para transporte de cargas e passageiros (trabalhadores e turistas), alguns barcos com capacidade para 40 pessoas e lanchas com capacidade para 6 pessoas."
2025 Disclosure Cycle,779465,CDP,840926,Prefeitura de Serra Talhada,City,Latin America,Brazil,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),47.77,20,4.1,0.3,0,0,0.94,45.95,1.1,2.6,2025,122.76,,,,,,,,,,,Esses dados foram advindos da superintendência de transportes de Serra Talhada.
2025 Disclosure Cycle,779465,CDP,840927,Prefeitura de São Cristóvão,City,Latin America,Brazil,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,"O município participa de um consórcio público intermunicipal com a capital do estado, Aracaju, e outros municípios. O que torna difícil estimar estes valores."
2025 Disclosure Cycle,779465,CDP,840931,Prefeitura de Cordeirópolis,City,Latin America,Brazil,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,840936,Prefeitura de Guanhães,City,Latin America,Brazil,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,841491,Muar Municipal Council,City,South East Asia & Oceania,Malaysia,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,841525,Blackburn with Darwen Borough Council,City,UKWW,United Kingdom,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),11.8,0.9,,3.1,1.1,,4.1,77.7,,1.3,2021,100.00,,,,,,,,,,,"Data derived from DoT Road Traffic Statistics for Blackburn with Darwen to 2023 https://roadtraffic.dft.gov.uk/local-authorities/198a and from Census data for 2021 - 2021 Census Profile for areas in England and Wales: Blackburn with Darwen 2021 Census Area Profile https://www.nomisweb.co.uk/reports/localarea?compare=E06000008#section_6 \n\nThe Council as Local Transport Authority (LTA) is currently working alongside other Lancashire LTAs (Lancashire County Council and Blackpool Borough Council) to prepare a new Local Transport for Lancashire, referred to as LTP4. A Green Paper has been prepared evidencing the big economic, social and environmental challenges facing the county, and how they are all inter-related and affected by transport. Better transport can be an important part of a cross-sector solution. The the 3 LTAs will be undertaking stakeholder engagement over the coming months to identify a new transport vision, objectives, and start discussions around policies and programmes to support those objectives over the next 10+ years. \n\nIt is anticipated that LTP4 will focus on the avoid-shift-improve hierarchy (i.e. substituting trips as a priority where possible, then modal shift to more active travel and sustainable public transport options, and finally switching fuels as rapidly as possible).\n\nBlackburn with Darwen Council are already progressing a number of workstreams at the local level, in advance of LTP4, that works towards the transport hierarchy set out above, and aim of decarbonising the local transport systems:\n\n•\tA new Local Plan (adopted January 2024) and Climate Impacts Framework SPD that helps to support development in locations where there is a reduced need to travel\n•\tAn Infrastructure Delivery Plan, including an up-to-date Bus Service Improvement Plan (BSIP), and Local Cycling and Walking Infrastructure Plan (LCWIP), to ensure that attractive and accessible infrastructure options are provided locally to encourage modal shift\n•\tA programme of work around 'hearts and minds' for active travel, including creation of a local brand identity, campaign programme, improved data and evidence collection and public engagement, and walk to school outreach projects (school streets audits, WOW etc.); and \n•\tAcceleration of publicly available electric vehicle chargepoint locations for on-street charging, through local charging hubs and cable-tray solutions "
2025 Disclosure Cycle,779465,CDP,841955,Hammersmith and Fulham London Borough Council,City,UKWW,United Kingdom,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),44.9,5.4,,11.9,17.1,0.0,3,17.7,0,0,2024,100.00,Freight mode share as share of vehicle distance travelled (%),0.0,85,0.0,15,0.0,0.0,0.0,2023,100.00,"Passenger mode share source: LIP3 MTS outcomes borough data pack - Dec 2024, found at http://planning.data.tfl.gov.uk/. Micromobility is not recorded in this dataset. 2024 data point from Traffic by local authority (TRA89)- tra8902-miles-by-local-authority-and-selected-vehicle-type.ods shows LGV and HGV data by local authority.\n\nData from the London Travel Demand Survey shows that walking remains the most common mode of travel for H&F residents, although its share declined from 51.5% in 2022/23 to 44.9% in 2023/24. During the same period, car and motorcycle use increased from 14.9% to 17.7%, while cycling rose modestly from 4.3% to 5.4%. Public transport usage remained relatively stable, with slight increases in bus/tram and National Rail/Overground trips. These shifts highlight the need for continued investment in active travel infrastructure and sustainable transport options to support climate goals. Sources: https://tfl.gov.uk/corporate/about-tfl/how-we-work/planning-for-the-future/consultations-and-surveys#on-this-page-1 and https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fplanning.data.tfl.gov.uk%2FLIP%2520MTS%2520outcomes%2520borough%2520data%2520pack%2520-%2520Dec%25202024.xlsx&wdOrigin=BROWSELINK"
2025 Disclosure Cycle,779465,CDP,841965,"City of Lansing, MI",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,841970,"City of West Lafayette, IN",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),30.94,0.73,0.0,0.35,0.0,0.0,0.0,67.98,0,0.0,2019,100.00,,,,,,,,,,,The transportation mode share data is based on West Lafayette city-level data from Google Environmental Insights Explorer.
2025 Disclosure Cycle,779465,CDP,841976,Dhulikhel Municipality,City,India,Nepal,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,Passenger mode share data is not available.
2025 Disclosure Cycle,779465,CDP,842012,"City of Burlington, ON",City,North America,Canada,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of vehicle distance travelled (%),1,0.3,0,1.9,6.3,0,0,90.6,0,0,2023,100.10,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"Transportation mode share data is taken from Google's Environmental Insights Explorer (EIE) for the year 2023.\nCurrently, EIE provides distance traveled and number of trips for all travel that begins and/or ends in the city. It does not include trips that begin and end outside the city. The full distance traveled for trips beginning and/or ending inside the boundary is included. The EIE default unit for vehicle distance traveled is kilometers (VKT).\nTo use EIE data with the GPC induced-activity method, the City has calculated the appropriate induced-activity VKT by counting all of the in-boundary distance traveled and 50% of the inbound and outbound distance to create the mode share numbers reported here.\n"
2025 Disclosure Cycle,779465,CDP,842044,"Ville de Longueuil, QC",City,North America,Canada,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),6.4,0.9,0.0,15.0,0.0,0.0,13.0,61.0,,3.7,2018,100.00,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,842167,Sakarya,City,UKWW,Türkiye,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),48.6,1.4,0.8,18.3,0,0,10.3,17.3,0,3.3,2013,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,843537,Shropshire Council,City,UKWW,United Kingdom,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),9,2,,0.73,0.52,,,55,,,2024,67.25,,,,,,,,,,,"National averages (2022): ~60% private/car, 9% public transport, ~31% active modes. [gov.uk]\nShropshire remains well above national car usage and well below public transport averages.\n\nShropshire (2021): ~27% WFH, ~55% driving, ~1.3% public transport, ~11% walking/cycling. [next.shrop...ire.gov.uk], [next.shrop...ire.gov.uk]\nPre-pandemic (2011): More commuting by all modes except car, with zero remote working.\nEngland benchmark: ~45% driving, ~31% WFH, ~13-20% public & active travel.\n\nShropshire has one of the highest car-dependency rates in England, with very low public transport use, and less active travel than urbanized areas. "
2025 Disclosure Cycle,779465,CDP,847922,Junta Municipal de Medio Ambiente Lagunas (JIMAL),City,Latin America,Mexico,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,No se cuenta con la información.
2025 Disclosure Cycle,779465,CDP,848122,Alajuela,City,Latin America,Costa Rica,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,"El transporte público que se da dentro del cantón (Tren, taxi o autobuses), no son competencia del Municipio, sino son injerencia directa del Ministerios de Obras Públicas y Transportes, por lo que no se tiene datos para reportar."
2025 Disclosure Cycle,779465,CDP,848125,Oreamuno,City,Latin America,Costa Rica,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,Actualmente no se cuenta con ningún informe o porcentaje del uso del transporte de pasajeros.\n
2025 Disclosure Cycle,779465,CDP,848126,La Democracia,City,Latin America,Guatemala,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,No se cuenta con ese dato aún
2025 Disclosure Cycle,779465,CDP,848135,San Pedro de la Paz,City,Latin America,Chile,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),29,3,0,17,0,0,21,30,0,0,2017,100.00,,,,,,,,,,,"Encuesta origen destino, año 2017 no hay mas actualizaciones"
2025 Disclosure Cycle,779465,CDP,848476,Municipalidad de Cañas,City,Latin America,Costa Rica,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,848564,City of Zadar,City,Europe,Croatia,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),10.4,3.5,0.0,18.3,0.0,0.1,13.2,54.5,0,0.0,2018,100.00,,,,,,,,,,,Source of data: Traffic master plan of the North Dalmatia region (2019)
2025 Disclosure Cycle,779465,CDP,848568,"Metropolitan Council, Twin Cities",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),9.34,1.17,0,6.02,0.52,0,0.66,81.64,0,0.64,2023,99.99,Freight mode share as share of trips (%),0,0,55.76,44.24,0,0,0,2022,100.00,"Passenger mode shares are calculated using the Metropolitan Council's 2023 Travel Behavior Inventory to estimate the proportion of regional passenger trips made by given modes on an average day in 2023. This data only includes trips beginning or ending in the 7-county region and is based on Met Council-collected survey data. Data for categories with a response sample size of less than 50 are reported as “other”. There may be a small discrepancy in the total percentage reported due to rounding errors. More information on the Travel Behavior Inventory can be found at https://metrocouncil.org/Transportation/Performance/Travel-Behavior-Inventory.aspx. \n\nFreight mode shares are calculated using traffic station ratios used for calibrating StreetLight mode share data and finding the average proportional breakdown for medium- and heavy-duty vehicles. It is assumed that all medium or heavy-duty vehicles are freight vehicles, and that no other modes are used for transporting freight. "
2025 Disclosure Cycle,779465,CDP,848950,Ushuaia,City,Latin America,Argentina,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,No se disponen de estos datos
2025 Disclosure Cycle,779465,CDP,848981,City of Ormoc,City,South East Asia & Oceania,Philippines,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,848998,Villa de Merlo,City,Latin America,Argentina,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,ninguno
