disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Indicator used to estimate energy poverty^,col2_Percentage of households or total population within the jurisdiction boundary that face energy poverty^,col3_Threshold used for energy poverty^,col4_Comment
2025 Disclosure Cycle,779465,CDP,833284,West Midlands Combined Authority,City,UKWW,United Kingdom,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,17.9,"Other: Measured using the Low Income Low Energy Efficiency (LILEE) indicator. Under this indicator, a household is considered to be fuel poor if: - They live in a property band D or below or are below the poverty line after heating costs.","This is local authority fuel poverty data for the West Midlands, from 2023: https://www.gov.uk/government/statistics/sub-regional-fuel-poverty-data-2025-2023-data"
2025 Disclosure Cycle,779465,CDP,834058,Bogor Regency,City,South East Asia & Oceania,Indonesia,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,834083,"City of Eau Claire, WI",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,We do not know the other households beyond this figure.
2025 Disclosure Cycle,779465,CDP,834094,City of Ligao,City,South East Asia & Oceania,Philippines,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,12.4,Up to 10% of income spent on energy services,"Data is derived from Local Climate Change Action Plan Ligao City (Page 42. 1.5.6) that 87.60 % of the households have access to electricity (CMCI, 2018)\nUpdated Data is in CMBS report which is not yet turned over to the City by PSA.(as per City Planning)"
2025 Disclosure Cycle,779465,CDP,834120,City of Tanjungpinang,City,South East Asia & Oceania,Indonesia,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,834126,Dobong-gu District of Seoul,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,6.02,Other: 에너지바우처 수급 세대 수,"2025년 에너지 바우처 수급 세대수는 8,359세대로 도봉구 전체 세대수 138,849세대 대비 6.02% 이다\n\n에너지 바우처란? :국민 모두가 시원한 여름, 따뜻한 겨울을 보낼 수 있도록 에너지 취약계층을 위해 에너지바우처(이용권)을 지급하여 전기, 도시가스, 지역난방, 등유, LPG, 연탄을 구입할 수 있도록 지원하는 제도입니다"
2025 Disclosure Cycle,779465,CDP,834161,Kinmen County Government,City,China,East Asia,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,None
2025 Disclosure Cycle,779465,CDP,834255,Municipality of Guaymallén,City,Latin America,Argentina,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,ninguno
2025 Disclosure Cycle,779465,CDP,834261,Municipality of Irapuato,City,Latin America,Mexico,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,0.105,Up to 20% or more of income spent on energy services,Se elaboró a partir de estimaciones de los componentes de carencia por acceso a los servicios básicos en la vivienda del año 2020
2025 Disclosure Cycle,779465,CDP,834273,Municipality of Lautaro,City,Latin America,Chile,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,3.3,Other: Casas sin conección al sistema de distribución de energía electrica.,"Según los datos oficiales emitidos por el ministerio de energía de nuestro país, la región de La Araucania es una de las 4 regiones del país que presenta mayor deficit en el acceso al suministro electrico, para el caso de Lautaro se proyecto el dato a nivel regional a nuestro territorio, donde arroja que un 3.3% de las viviendas de la comuna no cuentan con acceso al sistema de distribución de energía electrica, cabe mencionar que hay un porcentaje de estas viviendas que actualmente tienen proyectos para el acceso a la energía eléctrica de los domicilios. Por otra parte existen casos donde hay viviendas que poseen sistemas autonomos de generación de energía electrica, por ejemplo generadores de energía a base de combustible. "
2025 Disclosure Cycle,779465,CDP,834280,Municipality of Pérez,City,Latin America,Argentina,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,no hay
2025 Disclosure Cycle,779465,CDP,834284,Municipality of Salamanca,City,Latin America,Mexico,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,0.4,Up to 5% of income spent on energy services," Los datos son una aproximación a los componentes de las carencias sociales que se analizan, debido a que no se dispone de esta información en CONEVAL"
2025 Disclosure Cycle,779465,CDP,834339,Odawara City,City,Japan,Japan,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,834347,Seberang Perai Municipal Council,City,South East Asia & Oceania,Malaysia,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of total population within the jurisdiction boundary that face energy poverty,0,Up to 5% of income spent on energy services,Energy prices are manegeable for most households and consistent electricity supply across the region
2025 Disclosure Cycle,779465,CDP,834348,Phuentsholing Municipality,City,India,Bhutan,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,834400,Yasothon Town Municipality,City,South East Asia & Oceania,Thailand,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,834515,Şanlıurfa Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,1,Up to 10% of income spent on energy services,No comment
2025 Disclosure Cycle,779465,CDP,838937,Mersin Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of total population within the jurisdiction boundary that face energy poverty,1,Up to 5% of income spent on energy services,No comment
2025 Disclosure Cycle,779465,CDP,838939,Kocaeli Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,Data could not be accessed.
2025 Disclosure Cycle,779465,CDP,839572,Putrajaya City,City,South East Asia & Oceania,Malaysia,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,0,Up to 5% of income spent on energy services,All households within the jurisdiction have access to energy; no households are considered to be in energy poverty
2025 Disclosure Cycle,779465,CDP,839666,Municipio de Escuintla,City,Latin America,Guatemala,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,3.0,Other: Las conexiones las realiza EECSA empresa privada,"Es Escuintla el porcentaje cubierto de hogares con energía electrica asiende al 97.7 % en todo el municipio, por lo cual no hay pobreza energéticahttps://www.censopoblacion.gt/calor"
2025 Disclosure Cycle,779465,CDP,839668,Municipio de Iztapa,City,Latin America,Guatemala,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,0.1,Up to 5% of income spent on energy services,El 99 % de la población cuenta con energía eléctrica
2025 Disclosure Cycle,779465,CDP,839669,Municipio de San Jose,City,Latin America,Guatemala,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of total population within the jurisdiction boundary that face energy poverty,1,Other: El servicio de energía es proporcionado por la Empresa eléctrica de Guatemala EGSSA y cubre el 100 % a los hogares siendo un porcentaje muy bajo que no tiene energía,El servicio de energía es proporcionado por la Empresa eléctrica de Guatemala EGSSA y cubre el 100 % a los hogares siendo un porcentaje muy bajo que no tiene energía 
2025 Disclosure Cycle,779465,CDP,840024,Perth and Kinross,City,UKWW,United Kingdom,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,35,Other: more than 10% of net income spent,"The definition of fuel poverty in Scotland states that: 1)A household is in fuel poverty if—(a)the fuel costs necessary for the home in which members of the household live to meet the conditions set out in subsection (2) are more than 10% of the household's adjusted net income, and(b)after deducting such fuel costs, benefits received for a care need or disability (if any) and the household's childcare costs (if any), the household's remaining adjusted net income is insufficient to maintain an acceptable standard of living for members of the household.(2)For the purpose of subsection (1)(a), the conditions are that—(a)the requisite temperatures are met for the requisite number of hours, and(b)the household's other reasonable fuel needs within the home are met.(3)For the purpose of subsection (2)(a)—(a)the requisite temperatures are—(i)in the case of a household for which enhanced heating temperatures are appropriate—(A)23 degrees Celsius for the living room,(B)20 degrees Celsius for any other room,(ii)otherwise—(A)21 degrees Celsius for the living room,(B)18 degrees Celsius for any other room,(b)the requisite number of hours is—(i)in the case of a household for which enhanced heating hours are appropriate, 16 hours a day,(ii)otherwise—(A)9 hours a day on a weekday,(B)16 hours a day during the weekend. Due to the percentage approach stated in this definition and the increased energy costs experienced the last year, the percentage of households living in fuel poverty has risen significantly."
2025 Disclosure Cycle,779465,CDP,840075,Unley City Council,City,South East Asia & Oceania,Australia,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,n/a
2025 Disclosure Cycle,779465,CDP,840105,Samdrup Jongkhar Municipality,City,India,Bhutan,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,840113,Bhavnagar Municipal Corporation,City,India,India,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,0.32,"Other: No such standard given by Government of India or Government of Gujarat to follow. Hence, Pradhan Mantri Ujjwala Yojana from 2016 onwards; National Energy Policy (NITI Aayog), SDG Goal 7 (Affordable & Clean Energy) have been taken as standards/guide",Definition: 0.32% of the Households do not have access to any forms of lighting. Such households have been considered in the Energy Poverty category. \n\nSource: Bhavnagar Census District Handbook 2011\n
2025 Disclosure Cycle,779465,CDP,840118,Jamnagar Municipal Corporation,City,India,India,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,-
2025 Disclosure Cycle,779465,CDP,840131,Tiruchirappalli City Municipal Corporation,City,India,India,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,100% grid connected. LOS: 99.97%
2025 Disclosure Cycle,779465,CDP,840134,Tirunelveli Municipal Corporation,City,India,India,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,840158,"City of San Fernando, La Union",City,South East Asia & Oceania,Philippines,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,We don't have data on this.
2025 Disclosure Cycle,779465,CDP,840161,Municipality of Del Carmen,City,South East Asia & Oceania,Philippines,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,10,Up to 10% of income spent on energy services,"Del Carmen is supplied by SIARELCO through the Mindanao grid. Remote island sitios still lack 24-hour service and many low-income families rely on kerosene or small solar kits. The LGU, through MEO and the Municipal Social Welfare & Development Office, is coordinating with DOE and SIARELCO for expanded household connections and community solar pilots to reduce energy poverty."
2025 Disclosure Cycle,779465,CDP,840170,Nowon-gu Municipal Government of Seoul,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,8.1,Other: It is measured by the number of households receiving energy vouchers.,"In 2024, a total of 17,609 households in Nowon-gu received energy vouchers, representing 8.10% of the district's 217,153 households.\n\nThe Energy Voucher Program is a national support scheme designed to ensure that all citizens can stay cool in the summer and warm in the winter. It provides vulnerable households with vouchers that can be used to purchase electricity, city gas, district heating, kerosene, LPG, and coal briquettes."
2025 Disclosure Cycle,779465,CDP,840192,Kandy Municipal Council,City,India,Sri Lanka,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,840194,Tepebaşi Municipality,City,UKWW,Türkiye,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,There is no precise numerical data available regarding energy poverty.
2025 Disclosure Cycle,779465,CDP,840195,Laholm Municipality,City,Europe,Sweden,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,840269,"Town of Whitby, ON",City,North America,Canada,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,14,Other: High home energy cost burden 6%,Energy poverty determined through https://public.tableau.com/app/profile/efficiency.canada/viz/CommunityLevelEnergyPovertyMap/Dashboard
2025 Disclosure Cycle,779465,CDP,840313,Municipalidad de Cerro Navia,City,Latin America,Chile,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,28,Other: Incapacidad para suplir las necesidades energéticas durante el invierno 2024,"Se realzó un estudio cuantitativo, transversal, probabiliístico. Con una muestra representativa con un 95% de confianza y 3,8% de error muestral."
2025 Disclosure Cycle,779465,CDP,840428,Hua-Hin Municipality,City,South East Asia & Oceania,Thailand,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,840521,City of Denizli,City,UKWW,Türkiye,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,No comment
2025 Disclosure Cycle,779465,CDP,840914,Prefeitura de Cáceres (Brasil),City,Latin America,Brazil,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,10.0,Up to 10% of income spent on energy services,
2025 Disclosure Cycle,779465,CDP,840924,Prefeitura de Alexânia,City,Latin America,Brazil,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,840925,Prefeitura de Indiaroba,City,Latin America,Brazil,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,25,Up to 15% of income spent on energy services,Para algumas famílias ainda é comum a utilização da lenha para cozinhar.
2025 Disclosure Cycle,779465,CDP,840926,Prefeitura de Serra Talhada,City,Latin America,Brazil,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,3.47,Other: NE,"Estimativa dada atraves da neoenergia, sem mais detalhes e nem indicadores. A neoenergia informou que existem 3200 pessoas em condicao de pobreza energetica na jurisdicao de Serra Talhada."
2025 Disclosure Cycle,779465,CDP,840927,Prefeitura de São Cristóvão,City,Latin America,Brazil,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,5,Up to 10% of income spent on energy services,Dados encontrados através do número de inadimplentes.
2025 Disclosure Cycle,779465,CDP,840931,Prefeitura de Cordeirópolis,City,Latin America,Brazil,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,840936,Prefeitura de Guanhães,City,Latin America,Brazil,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,841491,Muar Municipal Council,City,South East Asia & Oceania,Malaysia,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,No energy poverty survey in this region
2025 Disclosure Cycle,779465,CDP,841955,Hammersmith and Fulham London Borough Council,City,UKWW,United Kingdom,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,10.2,"Other: Government definition of 'Low income low energy efficiency' (LILEE): property is below EPC band D, and disposable income is below the poverty line ( disposable income less than 60% of the national median)","2022 data, taken from the UK Government's sub-regional fuel poverty dataset: https://www.gov.uk/government/statistics/sub-regional-fuel-poverty-data-2024-2022-data\nThe figure has decreased despite rising inflation and energy prices, largely due to the use of more up-to-date and accurate data sources."
2025 Disclosure Cycle,779465,CDP,841965,"City of Lansing, MI",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,841976,Dhulikhel Municipality,City,India,Nepal,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,Energy-poverty rates have not been calculated for this jurisdiction.
2025 Disclosure Cycle,779465,CDP,842012,"City of Burlington, ON",City,North America,Canada,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,7.5,Other: 6% of income or higher spent on energy services,"The percentage of households in Burlington in conditions of energy poverty is from the 2021 Census sub-division level in Canada. It was developed by the team at Efficiency Canada, using custom calculations of Statistics Canada household income and demographic data."
2025 Disclosure Cycle,779465,CDP,842044,"Ville de Longueuil, QC",City,North America,Canada,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,"Une très faible précarité est attendue, cette évaluation n'est pas réalisée. Non applicable à notre région."
2025 Disclosure Cycle,779465,CDP,842167,Sakarya,City,UKWW,Türkiye,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,843537,Shropshire Council,City,UKWW,United Kingdom,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,19,Up to 10% of income spent on energy services,"In Shropshire, approximately 18.9% of households—equating to around 27,000 households—were living in fuel poverty as of 2022 (based on the Department for Energy Security & Net Zero's LILEE metric).\nThis aligns with official sub-regional fuel poverty figures published by the UK Government, which show that Shropshire falls into the group of local authorities with the highest rates—at or above 18%—in England"
2025 Disclosure Cycle,779465,CDP,848122,Alajuela,City,Latin America,Costa Rica,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,"El suministro de energía, en el país es dada por empresas publicas y semiprivadas, no se tiene un dato especifico para el cantón de Alajuela."
2025 Disclosure Cycle,779465,CDP,848125,Oreamuno,City,Latin America,Costa Rica,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of total population within the jurisdiction boundary that face energy poverty,0,Other: menor al 2%,No se identifica un porcentaje.
2025 Disclosure Cycle,779465,CDP,848126,La Democracia,City,Latin America,Guatemala,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,0.4,Up to 10% of income spent on energy services,La mayoría de la población cuenta con energía eléctrica se estima un 1 % que no tiene este servicio
2025 Disclosure Cycle,779465,CDP,848135,San Pedro de la Paz,City,Latin America,Chile,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,0.1,"Other: En la EEL, se utilizó conexión al sistema eléctrico",Esta información no se posee de manera actualizada
2025 Disclosure Cycle,779465,CDP,848476,Municipalidad de Cañas,City,Latin America,Costa Rica,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,848564,City of Zadar,City,Europe,Croatia,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,Don't have data
2025 Disclosure Cycle,779465,CDP,848567,Mid-America Regional Council,City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,25,Up to 5% of income spent on energy services,
2025 Disclosure Cycle,779465,CDP,848568,"Metropolitan Council, Twin Cities",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,11.4,Up to 5% of income spent on energy services,"Values calculated using the US DOT's LEAD tool, https://www.energy.gov/scep/slsc/lead-tool. "
2025 Disclosure Cycle,779465,CDP,848950,Ushuaia,City,Latin America,Argentina,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,no se estima
2025 Disclosure Cycle,779465,CDP,848981,City of Ormoc,City,South East Asia & Oceania,Philippines,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,54.6,Up to 10% of income spent on energy services,"Based on the 2022 Community-Based Monitoring System (CBMS) data, the city has a total of 52,374 households. Energy poverty in the jurisdiction is assessed using the access to modern energy services threshold, which includes:\n\na. Electricity for lighting and appliances\nb. Clean cooking fuels and technologies, specifically LPG and electricity\n\nFindings:\nHouseholds without electricity: 2,554 (≈4.9% of total households)\n\nHoseholds without access to clean cooking fuels: 28,580 (≈54.6% of total households)\n\nInterpretation:\nApproximately 28,580 households (54.6%) in the jurisdiction face energy poverty, primarily due to reliance on traditional cooking fuels such as wood, charcoal, or kerosene. Although electricity coverage is high (≈95.1%), access to clean cooking technologies remains limited, especially in rural and upland barangays."
2025 Disclosure Cycle,779465,CDP,848998,Villa de Merlo,City,Latin America,Argentina,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,ninguno
2025 Disclosure Cycle,779465,CDP,849039,Ceres (Argentina),City,Latin America,Argentina,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,ninguno
2025 Disclosure Cycle,779465,CDP,849051,Udaipur Municipal Corporation,City,India,India,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,0,"Other: 0%, as per",As reported in Rajasthan SDGs Index 2023 (Ver.4) report 
2025 Disclosure Cycle,779465,CDP,850566,Prefeitura de Piraquara,City,Latin America,Brazil,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,850585,Municipality of Ambato,City,Latin America,Ecuador,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,0.46,Up to 5% of income spent on energy services,"Aproximadamente 0,43 % de las viviendas en Ambato no tienen acceso al servicio eléctrico, lo que equivale a unas 1.200 viviendas (estimación sobre un total aproximado de 280.000 viviendas).\n(Fuente: EEASA; estimación en base a cobertura reportada).\nen Ambato el ingreso mensual promedio de hogares en zonas rurales y urbanas marginales es de aproximadamente USD 300 a 500. El gasto aceptable en energía eléctrica no debería superar el 10% del ingreso mensual, es decir, entre USD 30 y 50. Por lo tanto, se considera que existe pobreza energética cuando el gasto en energía supera ese 10% del ingreso mensual."
2025 Disclosure Cycle,779465,CDP,852443,"Ferndale, MI",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,Unknown
2025 Disclosure Cycle,779465,CDP,852445,"Gainesville, FL",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of total population within the jurisdiction boundary that face energy poverty,36.26,Other: Average annual energy costs divided by household income,https://www.gainesvillefl.gov/Government-Pages/Government/Departments/Office-of-Resiliency#section-1
2025 Disclosure Cycle,779465,CDP,852524,Westminster City Council,City,UKWW,United Kingdom,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,10.04,Other: Fuel poverty in England is measured using the Low Income Low Energy Efficiency Indicator,"Fuel poverty in England is measured using the LILEE indicator, which considers a household \nto be fuel poor if:\n• it is living in a property with an energy efficiency rating of band D, E, F or G as \ndetermined by the most up-to-date Fuel Poverty Energy Efficiency Rating (FPEER)\nMethodology \n• its disposable income (after housing costs and energy needs) would be below the \npoverty line"
