disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Indicator used to estimate energy poverty^,col2_Percentage of households or total population within the jurisdiction boundary that face energy poverty^,col3_Threshold used for energy poverty^,col4_Comment
2025 Disclosure Cycle,779465,CDP,31090,"District of Columbia, DC",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,7,"Other: The District uses severe energy burden, defined as >10% income spent on energy services.",2021 data - percent of all households that spend greater than 10% of income on energy costs. 
2025 Disclosure Cycle,779465,CDP,31109,City of Melbourne,City,South East Asia & Oceania,Australia,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of total population within the jurisdiction boundary that face energy poverty,27.5,Other: ,"A Social Indicator survey is undertaken each year of City of Melbourne residents. We added questions about energy poverty to the survey for the first time in 2024. Three questions were asked three questions regarding the previous 12 month period:\n\n\t1. I have had trouble paying energy bills.\n\t2. I have intentionally reduced my energy consumption to inadequate levels due to costs.\n\t3. My energy bills have taken up a disproportionate amount of my household budget reducing my ability to cover other essential services.\n\nRespondents were presented with a five responses ranging from Strongly agree to Strongly disagree. For each question, the percentage of residents who chose Strongly agree or Agree are listed below:\n\n\t1. 27.5%\n\t2. 43.3%\n 3. 38.9%\n\n55% of respondents reported experiencing at least one of these indicators of energy hardship. \n\nThese figures were reported in the 2023 CDP report but actually apply to the 2024 calendar year which is when the survey took place. New figures for the 2025 calendar year will be provided in next year's report."
2025 Disclosure Cycle,779465,CDP,31110,City of Rome,City,Europe,Italy,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,Data not yet available A Horizon 2020 project is underway to improve the accessibility of families to renewable energy in Roma Capitale (SUN4ALL). https://www.comune.roma.it/web/it/dipartimento-politiche-sociali-e-salute-progetti.page?contentId=PRG930729\n\n\nA project is underway in Rome to estimate the population experiencing energy poverty. \'Informa Energia\'
2025 Disclosure Cycle,779465,CDP,31112,Kaohsiung City Government,City,China,East Asia,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,Local governments (in Taiwan) do not have access to data on energy poverty.
2025 Disclosure Cycle,779465,CDP,31113,City of Yokohama,City,Japan,Japan,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,自治体では入手不可能なデータ
2025 Disclosure Cycle,779465,CDP,31114,City of Sydney,City,South East Asia & Oceania,Australia,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,Energy poverty data not estimated\n
2025 Disclosure Cycle,779465,CDP,31115,City of Johannesburg,City,UKWW,South Africa,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,19.4,Up to 20% or more of income spent on energy services,"In Johannesburg, around 19.4% of households rely on indirect electricity sources such as a neighbour or landlord rather than having their own direct mains connection\n\nThis is nearly double the average for South African metros (10.7%) and highlights a persistent form of energy poverty in the city.\nSeveral drivers contribute to this situation:\nRapid urbanisation and in-migration into Johannesburg have led to rising household numbers that often outpace formal electrification programmes.\nInformal settlements and backyard dwellings are widespread, where residents frequently depend on shared or informal connections due to the absence of formal grid infrastructure.\nAffordability constraints force many low-income households to forgo direct accounts with utilities, relying instead on landlords or neighbours to mediate electricity access.\nService delivery backlogs and housing informality also play a role, with electrification lagging behind demand in high-density urban areas.\nTogether, these factors mean that while Johannesburg's overall electrification rate is high, one in five households remains energy poor, dependent on precarious and often unsafe energy arrangements."
2025 Disclosure Cycle,779465,CDP,31117,"City of Toronto, ON",City,North America,Canada,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,7.58,Other: Threshold of 6% of household income spent on energy services.,"As per data published in March 28, 2025 from Efficiency Canada:\n\nWithin Toronto 88,050 households (7.58%) face energy poverty, of a total number of households of 1,160,890 (2021 Census households count), based on a threshold of 6% of after-tax household income spent on energy services.\n\nOf these 88,050 households, Efficiency Canada provides the following breakdown of how energy poverty intersects with different vulnerable communities in Toronto:\n\n- 32,705 (2.82%) households with energy poverty live below the Poverty Line (MBM)\n- 17,505 (1.51%) households with energy poverty live in apartments\n- 28,765 (2.48%) households with energy poverty live in Core Housing Need\n- 7,125 (0.61%) households with energy poverty live in Major Repair Need\n- 68,255 (5.88%) households with energy poverty live in Older Housing\n- 32,150 (2.77%) households with energy poverty live in households with no English/French (official languages) spoken at home\n- 9,285 (0.80%) households with energy poverty have Newcomers living in them\n- 21,005 (1.81%) households with energy poverty have Renters living in them\n- 39,910 (3.44%) households with energy poverty have Seniors living in them\n- 10,305 (0.89%) households with energy poverty have Single-parents living in them\n\nSource: Efficiency Canada (2025). Energy Poverty in Canada. Available at: https://www.efficiencycanada.org/energy-poverty-in-canada/\n\nData Dashboard available at: https://public.tableau.com/app/profile/efficiency.canada/viz/CommunityLevelEnergyPovertyMap/Dashboard"
2025 Disclosure Cycle,779465,CDP,31146,Addis Ababa City Administration,City,UKWW,Ethiopia,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,31149,Municipality of Athens,City,Europe,Greece,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,27.5,Up to 10% of income spent on energy services,"The implementation of the two composite indicators developed in the context of this research showed that energy poverty levels in the region of Attica (to which the city of Athens belongs*) range between 37% and 43.5%. About 27.5% of the households are energy poor with both composite indicators, while 11.5% of households are characterised by high energy poverty intensity. This data applies to a 2019 research and is closer to what the situation had been in 2021. With the current increase in electricity and natural gas prices, this number must have increased, which is certified by a more recent survey, that took place in May 2022 throughout the country (N. Poulantzas Institute, 2022); the researchers have found out that 50% of households struggle to meet their energy needs; 50% have reduced the cooling of spaces in summer, while 40% heat their spaces only partially in winter and turn off the heat, while the building is still cold. 33% of households have cut back on basic commodities (medication, food etc.) in order to pay their energy bills.* The majority of households that had taken part in this survey were from central Athens, to which the Municipality of Athens belongs.References:Ntaintasis, E., Mirasgedis, S., & Tourkolias, C. (2019). Comparing different methodological approaches for measuring energy poverty: Evidence from a survey in the region of Attika, Greece. Energy Policy, 125, 160-169. {attached file}N. Poulantzas Institute (2022). Research | Problems, practices and perceptions in relation to energy consumption in residencies. Available from: https://poulantzas.gr/yliko/erevna-provlimata-praktikes-kai-antilipseis-se-schesi-me-tin-katanalosi-energeias-stin-katoikia/?cmid=685a8670-13eb-4190-a9d4-c42f6022af9d [Accessed: 28.06.2022] \n\nFor the 2022 overall, it is assumed that energy poverty in Athens has been exacerbated, since the average household electricity prices were raised to 0.23 €/kWh in 2022 and 0.25€/kWh in 2023 and 2024 from 0.19 €/kWh in 2021 and the percentage of households with inability to keep home adequately warm were raised to 18.7% in 2022 and to 19.2% in 2023 and 19% in 2024 from 17.5% in 2021 (based on data of the EU Energy Poverty Observatory, https://energy-poverty.ec.europa.eu/epah-indicators#)"
2025 Disclosure Cycle,779465,CDP,31150,Bangkok Metropolitan Administration,City,South East Asia & Oceania,Thailand,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,-
2025 Disclosure Cycle,779465,CDP,31153,City-State of Berlin,City,Europe,Germany,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,The figures are based on Berlin's gas and electricity cut-offs in 2021.
2025 Disclosure Cycle,779465,CDP,31154,Bogotá Distrito Capital,City,Latin America,Colombia,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,31155,City of Buenos Aires,City,Latin America,Argentina,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,"No hay datos precisos sobre la cantidad de viviendas con pobreza energética para la Ciudad de Buenos Aires. Existen datos a nivel metropolitano y nacional, pero no datos específicos para la ciudad. A partir de esta información, se trabajará para generar información a escala local."
