disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Data availability,col2_Percentage of households with access to safely managed drinking water services,col3_Percentage of households with access to safely managed sanitation services,col4_Household water consumption (litres/capita/day),col5_Comment
2025 Disclosure Cycle,779465,CDP,2012309,Northumberland National Park Authority,City,UKWW,United Kingdom,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,None of the above data is available to report,,,,Ascertaining whether this data is publicly available for the National Park Area.
2025 Disclosure Cycle,779465,CDP,2012310,Peak District National Park Authority,City,UKWW,United Kingdom,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,None of the above data is available to report,,,,Monitoring this data is not within our jurisdictional responsibilities.
2025 Disclosure Cycle,779465,CDP,2012312,Yorkshire Dales National Park Authority,City,UKWW,United Kingdom,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services,99.8,98,140,"The access to drinking water figure is for the UK in 2022, the data is not available for the national park or local government and it is % population rather than % households, households is not calculated by the UK government. Source: https://sdgdata.gov.uk/6-1-1/ \n\nThe access to sanitation is for the UK in 2022, the data is not available for the national park or local government and it is % population rather than % households, households is not calculated by the UK government. Source: https://sdgdata.gov.uk/6-2-1/ \n\nThe water consumption figure is for the UK in 2023, the data is not available for the national park or local government. The UK per capita consumption of water is 140 litres per day (UK Government). Source: https://assets.publishing.service.gov.uk/media/668406c68d257280ee8546ce/Water-and-sewerage-companies-in-England-environmental-performance-summary-graphic-2023.pdf"
2025 Disclosure Cycle,779465,CDP,2023043,Nasushiobara City,City,Japan,Japan,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services,98.58,,372,"日本国内で、水道水質基準が定められており、本市も水道水質基準に基づき運用している。 給水区域内普及率が98.58%であり、安全に管理された飲料水サービスを利用している世帯割合は98.58%となる。\nまた、栃木県の年間給水量は244,574千㎥、人口は1,816,141人であり、年間1人あたり372ℓ使用している。"
2025 Disclosure Cycle,779465,CDP,2024876,Town of Lügde,City,Europe,Germany,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services,,,,
2025 Disclosure Cycle,779465,CDP,2027109,Ilustre Municipalidad De El Quisco,City,Latin America,Chile,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services,99.8,67,,"en sistema de agua potable se consideró red pública 86.7%; pozo o noria 7.2% y camiones aljibes (5.9% ) y en saneamiento se considera alcantarillado 66%, alcantarillado fuera de la vivienda 1% , el resto no considerado como seguro es fosa séptica 31 % y otros 2% "
2025 Disclosure Cycle,779465,CDP,2027804,Kalasin Town Municipality,City,South East Asia & Oceania,Thailand,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services,100,,,เทศบาลเมืองกาฬสินธุ์รับมอบนโยบายเร่งด่วนในการขับเคลื่อน เรื่องน้ำดื่มสะอาด ลดค่าใช้จ่ายให้ประชาชน ขับเคลื่อนให้ครัวเรือนสามารถเข้าถึงน้ำดื่มสะอาดเพื่อการอุปโภค บริโภค โดยพัฒนามาตรฐานคุณภาพน้ำปะปา และจัดหาน้ำดื่มสะอาด น้ำปะปาดื่มได้ จึงมีโครงการตรวจสอบคุณภาพน้ำปะปา
2025 Disclosure Cycle,779465,CDP,2027823,Saen Suk Town Municipality,City,South East Asia & Oceania,Thailand,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services,100,,,ใช้บริการจากการประปาส่วนภูมิภาค
2025 Disclosure Cycle,779465,CDP,2027827,Su-ngai Kolok Town Municipality,City,South East Asia & Oceania,Thailand,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,None of the above data is available to report,,,,ไม่มี
2025 Disclosure Cycle,779465,CDP,2027830,Pak Poon Town Municipality,City,South East Asia & Oceania,Thailand,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day,,,0,
2025 Disclosure Cycle,779465,CDP,2027856,Cañada Rosquín,City,Latin America,Argentina,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,None of the above data is available to report,,,,ninguno
2025 Disclosure Cycle,779465,CDP,2027864,El Trebol,City,Latin America,Argentina,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services,70,83,,"En cuanto al\nservicio de agua potable, la ciudad cuenta con 3488 conexiones a la red, cubriendo el 70%\ndel total de viviendas de la localidad. Existen 4164 conexiones a la red de cloacas, siendo el\n83% de las viviendas de la localidad."
2025 Disclosure Cycle,779465,CDP,2027869,San Salvador de Jujuy,City,Latin America,Argentina,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,None of the above data is available to report,,,,ninguno
2025 Disclosure Cycle,779465,CDP,2027876,Tual City,City,South East Asia & Oceania,Indonesia,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services,34,,,Kami menggunakan data jumlah Pelanggan Air Minum PDAM Kota Tual yang terdapat dalam dokumen Kota Tual dalam Angka 2024 oleh BPS Kota Tual. Untuk Persentasenya diperoleh dari hasil bagi Total pelanggan PDAM dengan Jumlah Kepala Keluarga di Kota Tual (data Dukcapil Kota Tual :https://disdukcapil.tualkota.go.id/)
2025 Disclosure Cycle,779465,CDP,2027923,Barva,City,Latin America,Costa Rica,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services,99.1,,,"Por le momento no se tienen datos sobre viviendas a servicios de saneamiento y el consumo de agua en viviendas. Una vez se tengan los datos, estos serán actualizados y registrados. "
2025 Disclosure Cycle,779465,CDP,2027926,Salinas,City,Latin America,Ecuador,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services,93.72,72.68,,Datos obtenidos del Plan de Desarrollo y Ordenamiento Territorial del período 2023 - 2027
2025 Disclosure Cycle,779465,CDP,2027928,La Joya de los Sachas,City,Latin America,Ecuador,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services,25.06,,,
2025 Disclosure Cycle,779465,CDP,2027930,Ahome,City,Latin America,Mexico,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services,98,97.2,,La información brindada refieren datos del 2020
2025 Disclosure Cycle,779465,CDP,2033711,Prefeitura de Arapiraca,City,Latin America,Brazil,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services,76.9,,,Dados do Censo IBGE 2022
2025 Disclosure Cycle,779465,CDP,2033737,Prefeitura de Crato,City,Latin America,Brazil,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services,97.13,25,109.66,
2025 Disclosure Cycle,779465,CDP,2033759,Prefeitura de Ji-Paraná,City,Latin America,Brazil,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services,68.8,7.72,,
2025 Disclosure Cycle,779465,CDP,2033760,Prefeitura de Maranguape,City,Latin America,Brazil,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services,85.97,13.87,,"Dados referentes às residências ligadas às redes de água e esgoto no ano de 2023 na área da jurisdição municipal. Segundo dados da Compania de Água e Esgoto do Ceará (CAGECE) a cobertura desses serviços são de, respectivamente, 99,76% e 39,28%."
2025 Disclosure Cycle,779465,CDP,2033762,Prefeitura de Palmeira Dos Índios,City,Latin America,Brazil,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day,80.53,3.94,86.9,
2025 Disclosure Cycle,779465,CDP,2033763,Prefeitura de Parintins,City,Latin America,Brazil,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,None of the above data is available to report,,,,
2025 Disclosure Cycle,779465,CDP,2033764,Prefeitura de São João De Meriti,City,Latin America,Brazil,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day,91,,174,"Os dados preenchidos foram fornecidos pelas Águas do Rio, empresa responsável pelo abastecimento de água no Município de São João de Meriti.\n\nA Águas do Rio não atende o Município com sistema de esgotamento sanitário conforme definido no Contrato de Concessão.\n\nRespondido sob os números de controle abaixo:\nRIO4.JRG.2025/001093\nPRT.ARJ.2025/012426\nRio de Janeiro, 22 de outubro de 2025."
2025 Disclosure Cycle,779465,CDP,2033765,Prefeitura de Sinop,City,Latin America,Brazil,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services,95,,,
2025 Disclosure Cycle,779465,CDP,2033767,Prefeitura de Vitória De Santo Antão,City,Latin America,Brazil,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services,86,27,117,"Em Vitória de Santo Antão (PE), os dados de acesso à água, saneamento e consumo de água foram obtidos do SNIS 2022 (Ministério das Cidades), fonte oficial para monitorar o ODS 6 - Água potável e saneamento.\n\nO município apresenta 86% dos domicílios com abastecimento por rede pública, valor utilizado como proxy de serviços de água potável gerenciados com segurança, conforme a metodologia da Agência Nacional de Águas e Saneamento Básico (ANA). Essa cobertura indica fornecimento contínuo, com qualidade monitorada e captação de fontes protegidas.\n\nJá a coleta e tratamento de esgoto atinge cerca de 27% das residências, segundo o mesmo diagnóstico, refletindo avanços pontuais, mas ainda longe da universalização. Esse indicador representa o saneamento gerenciado com segurança, considerando o tratamento adequado dos efluentes e a disposição final segura.\n\nO consumo médio residencial é de 117 litros por habitante por dia (L/hab.dia), valor estável e próximo à média de municípios do Nordeste. Esse nível de consumo sugere uso moderado e eficiência relativa no abastecimento doméstico.\n\nEsses dados evidenciam que Vitória de Santo Antão possui bom desempenho no acesso à água, mas desafios persistentes na infraestrutura de esgotamento sanitário, que impactam diretamente a saúde pública e a resiliência climática urbana.\n\n📊 Fontes diretas:\nSNIS 2022 - Diagnóstico Água e Esgotos:\nhttps://www.gov.br/cidades/pt-br/acesso-a-informacao/acoes-e-programas/saneamento/snis/produtos-do-snis/diagnosticos/DIAGNOSTICO_TEMATICO_VISAO_GERAL_AE_SNIS_2023.pdf\nInfosanbas (Vitória de Santo Antão):\nhttps://infosanbas.org.br/municipio/vitoria-de-santo-antao-pe/\nTrata Brasil - Municípios e Saneamento:\nhttps://www.aguaesaneamento.org.br/municipios-e-saneamento/pe/vitoria-de-santo-antao"
2025 Disclosure Cycle,779465,CDP,2044300,Laoag City,City,South East Asia & Oceania,Philippines,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services,99.5,,,
2025 Disclosure Cycle,779465,CDP,2044301,Tayabas City,City,South East Asia & Oceania,Philippines,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services,43,74,,
2025 Disclosure Cycle,779465,CDP,2044302,Oroquieta City,City,South East Asia & Oceania,Philippines,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day,70.74,93.41,20000,"LGU Oroquieta City had recently formulated a Local Sustainable Sanitation Plan (LSSP) with the help of resource persons from the Department of Health. Data were from the City Health Office (CHO), City Environment and Natural Resources Office (CityENRO), local water district: Oroquieta City Water District (OCWD) and the City Public Services Office for LGU projects. "
2025 Disclosure Cycle,779465,CDP,2044700,Municipality of Escobar,City,Latin America,Argentina,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services,27.3,21.5,,ninguno
2025 Disclosure Cycle,779465,CDP,2044708,Municipality of Otavalo,City,Latin America,Ecuador,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day,,,343,"El valor de demanda habitante/día, refleja unicamente el requerimiento de servicio en la zona urbana, misma que es atendida por la Empresa Municipal de Agua Potable y Alcantarillado de Otavalo (EMAPAO).\nExiste una fracción de 179 hab/día cuya atención de agua potable se atiente tambien, por la Empresa Municipal de Agua Potable y Alcantarillado de Otavalo (EMAPAO); y, que corresponde a San Pablo del Lago, San José de Quichinche, Selva Alegre, San\nPedro de Pataquí, y la comunidad de Peguche.\nEn tanto que, la fracción atendida por las Juntas\nAdministradoras de Agua Potable en las parroquias: San Pablo del Lago, San José de Quichinche, Selva Alegre, Dr. Miguel Egas Cabezas, Eugenio Espejo, San Rafael de la Laguna, González Suárez, San Juan de Ilumán,\nSan Luis y El Jordán es de 180 hab/día. Esta información ha sido tomada del PDOT Otavalo 2019-2023"
2025 Disclosure Cycle,779465,CDP,2044709,Municipality of Pasaje,City,Latin America,Ecuador,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services,80,80.6,130,
2025 Disclosure Cycle,779465,CDP,2044711,Municipality of Riobamba,City,Latin America,Ecuador,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services,89,,,
2025 Disclosure Cycle,779465,CDP,2044725,Municipality of Choloma,City,Latin America,Honduras,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services,,80,,
2025 Disclosure Cycle,779465,CDP,2044738,City of Balanga,City,South East Asia & Oceania,Philippines,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the average household water consumption in litres per capita per day,52.84,67.78,120,"Balanga City, the capital of Bataan Province in the Philippines, is experiencing rapid population growth and urbanization, with an estimated 109,647 residents as of 2023. This growth drives increasing water demand, particularly concentrated in urban barangays where residential density, commercial activities, and institutional needs are highest. The Balanga Water District (BLWD) plays a vital role in meeting this demand, providing potable water through a Level III piped system servicing over 20,000 household connections. Average household water consumption is estimated at about 120 liters per capita per day, consistent with national urban benchmarks. However, rural barangays often supplement their water needs with deep wells and communal sources, reflecting varied access across the city.\n\nClimate change poses significant challenges to Balanga's water security and public health. Projected increases in temperature and altered rainfall patterns threaten water availability by affecting surface and groundwater resources. Sea level rise increases risks of coastal flooding and saltwater intrusion, particularly in low-lying areas, while more frequent and intense typhoons can damage water infrastructure and disrupt supply. These environmental pressures heighten the vulnerability of health services, which rely on safe and sufficient water for disease prevention, sanitation, and nutrition programs. Balanga's health infrastructure—including hospitals, rural health units, and barangay health stations—must therefore adapt to these risks to safeguard community well-being.\n\nThe combined effects of urbanization, population growth, and climate change necessitate strategic water resource management in Balanga City. Maintaining and expanding reliable water infrastructure, promoting water conservation and efficient use, and integrating climate adaptation measures are essential to meet rising demand and mitigate risks. Coordinated efforts across water supply, health services, and urban planning will be critical to ensuring sustainable development and resilience for Balanga's residents in the years ahead."
2025 Disclosure Cycle,779465,CDP,2044739,City of Carmona,City,South East Asia & Oceania,Philippines,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services,98.67,,,"The City of Carmona relies mainly on groundwater sources distributed by water districts and private providers, making its supply system vulnerable to seasonal fluctuations and drought. Rapid urbanization has significantly increased demand, as new housing projects, industrial estates, and commercial areas expand. While coverage has improved, not all barangays enjoy consistent access. Communities farther from main pipelines often face irregular supply and depend on deep wells, delivered water, or shared taps—sources that are costly, unreliable, and sometimes unsafe.\n\nWater quality is also a concern. Formal providers generally meet safety standards, but over-extraction raises risks of contamination and saltwater intrusion. During droughts, households frequently turn to less-regulated sources, exposing them to health risks. Infrastructure limitations worsen the problem. Old pipelines, leaks, and limited storage reduce distribution efficiency and reliability, leading to frequent service interruptions. Although projects such as new pumping stations and expanded networks are planned, these require large investments and stronger coordination with providers and national agencies.\n\nThe CLUP further emphasizes inequity in distribution. Urban centers and industrial zones tend to have reliable connections, while poorer households and remote barangays often face inconsistent service, making them the most vulnerable during shortages.\n\nOverall, Carmona's water supply is functional but fragile—strained by rapid growth, reliant on finite groundwater, and challenged by infrastructure gaps and inequities. Addressing these issues requires sustainable groundwater management, infrastructure upgrades, and fair access for all communities. Without such measures, water scarcity could become one of the city's most urgent development and climate resilience challenges."
2025 Disclosure Cycle,779465,CDP,2044740,City of Samal,City,South East Asia & Oceania,Philippines,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed sanitation services,96,97.13,100,Data to be taken from CBMIS c/o CPDO
2025 Disclosure Cycle,779465,CDP,2044749,Kalix Municipality,City,Europe,Sweden,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services,90,90,,"The figures for household consumption is only available for the whole county, not our municipality. "
2025 Disclosure Cycle,779465,CDP,2044752,Ystad Municipality,City,Europe,Sweden,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed sanitation services,100,100,160,
2025 Disclosure Cycle,779465,CDP,2044754,Karatay Municipality,City,UKWW,Türkiye,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services,100,100,200,
2025 Disclosure Cycle,779465,CDP,2044758,Cà Mau City,City,South East Asia & Oceania,Viet Nam,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services,94.5,85,405,"The situation regarding clean water and hygienic latrine usage in Ca Mau shows commendable efforts, but many challenges remain due to its specific geography and climate.\n1. Clean Water \nThe percentage of households with access to hygienic water (including drilled wells and rainwater) reached over 90% in 2024. However, the rate for clean water from centralized supply systems remains quite low, at only about 17.47%.\nStrengths:\n•\tLocal authorities have invested in numerous water supply projects and expanded the network, especially in difficult-to-access rural areas.\n•\tSupport from organizations and benefactors has helped supply clean water to residents during the dry season.\nChallenges:\n•\tGeographical specifics: Ca Mau lacks a major river system and its underground water sources are heavily contaminated with saltwater and alum.\n•\tClimate change: Increasingly severe droughts and saltwater intrusion deplete freshwater sources, forcing many households to purchase water at high prices.\n•\tAging infrastructure: Many centralized water supply facilities are old, operate inefficiently, and lack the capacity to meet public demand.\n2. Hygienic Latrines \nThe use of hygienic latrines in Ca Mau shows positive progress. According to recent reports, 94% of rural households now have a hygienic latrine.\nStrengths:\n•\tThis impressive rate highlights the commitment and efforts of both the government and the public to improve sanitation.\n•\tSupport projects and programs have encouraged people to build hygienic latrines, helping to reduce environmental pollution and prevent diseases.\nChallenges:\n•\tDespite the high rate, a small portion of the population lives in scattered, difficult-to-reach areas and lacks the economic means to access these services.\n•\tMaintaining and improving the quality of sanitation facilities is also a challenge, especially given the risks of damage from floods and landslides.\nIn short, Ca Mau is making significant strides in improving its water and sanitation situation, with clear goals for 2030. However, to achieve these targets, the province must continue to confront and overcome major challenges stemming from its harsh natural conditions and incomplete infrastructure.\n"
2025 Disclosure Cycle,779465,CDP,2044810,Municipalidad de Cerrillos,City,Latin America,Chile,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,None of the above data is available to report,,,,
2025 Disclosure Cycle,779465,CDP,2044811,Municipalidad de Cochrane,City,Latin America,Chile,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services,80.9,,250,"Se ayuda de forma constante a la comunidad a través del programa de mejoramientos de barrio, financiado por la subdere, en su linea de acción de asistencia técnica y de obra para el saneamiento sanitario."
2025 Disclosure Cycle,779465,CDP,2044814,Municipalidad de Curanilahue,City,Latin America,Chile,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services,84.6,,,
2025 Disclosure Cycle,779465,CDP,2044818,Municipalidad de Melipilla,City,Latin America,Chile,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,None of the above data is available to report,,,,"El informe PACCC no presenta indicadores cuantitativos específicos sobre acceso a agua potable gestionada de manera segura, saneamiento seguro o consumo per cápita de agua. No obstante, incorpora antecedentes generales vinculados a la seguridad hídrica urbana y rural, la cobertura de servicios básicos en sectores rurales y medidas orientadas a la eficiencia en la gestión del recurso hídrico"
2025 Disclosure Cycle,779465,CDP,2044842,Municipalidad de Saavedra,City,Latin America,Chile,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services,76,24,,
2025 Disclosure Cycle,779465,CDP,2045054,Gunung Kidul Regency,City,South East Asia & Oceania,Indonesia,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services,88.6,74.14,,
2025 Disclosure Cycle,779465,CDP,2045055,Jayapura Regency,City,South East Asia & Oceania,Indonesia,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services,,,,
2025 Disclosure Cycle,779465,CDP,2045062,Pemalang Regency,City,South East Asia & Oceania,Indonesia,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,None of the above data is available to report,,,,belum adanya data
2025 Disclosure Cycle,779465,CDP,2045064,Magelang City,City,South East Asia & Oceania,Indonesia,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day,100,100,0.157,7400141 (penggunaan tahun 2024 satuan m3/L)\n128709 (jumlah penduduk kota Magelang tahun 2024)\n365 (jumlah hari selama 1 tahun)
2025 Disclosure Cycle,779465,CDP,2045081,Municipalidad de Humberto Primo,City,Latin America,Argentina,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services,82,63,,-
2025 Disclosure Cycle,779465,CDP,2045150,Khohong Town Municipality,City,South East Asia & Oceania,Thailand,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services,100,100,,
2025 Disclosure Cycle,779465,CDP,2045151,Satun Town Municipality,City,South East Asia & Oceania,Thailand,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services,100,,,
2025 Disclosure Cycle,779465,CDP,2045159,Khaoroopchang Town Municipality,City,South East Asia & Oceania,Thailand,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services,95,,,
2025 Disclosure Cycle,779465,CDP,2045345,Municipality of Terézváros,City,Europe,Hungary,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services,100,100,,
