disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Total quantity of food procured (tonnes),col2_Breakdown of procured food by food group,col3_Year data applies to,col4_Comment
2025 Disclosure Cycle,779465,CDP,13067,"City of New Orleans, LA",City,North America,United States of America,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,,,,"Due to the decentralized nature of the New Orleans Public school system (100% charter schools), the Orleans Parish School Board does not centrally collect this information at this time and this would make up the bulk of this data. Moving forward, the City will collaborate with OPSB, the one government-owned hospital, one government owned homeless shelter and two detention facilities (one juvenile and one for adults), which mostly operated by non-City agencies, to collect this data for future years."
2025 Disclosure Cycle,779465,CDP,13113,Newcastle City Council,City,UKWW,United Kingdom,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,6800,"This methodology is based on spend per contract and has used an extremely basic method to convert spend to tonnage. Future years will seek to develop a more accurate breakdown, using more granular data from suppliers\nGeneral Provisions: 1605\nFrozen: 1651\nFruit, Vegetables, Bread, Eggs: 901\nMeat, Sausage and Poultry: 1977\nOrganic Kitchen and Nursery Milk: 124\nKitchen and Nursery Milk: 63\nMiscellaneous : 479\n",2024,
2025 Disclosure Cycle,779465,CDP,13506,Nottingham City Council,City,UKWW,United Kingdom,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,0,"Tonnes of food procured for government-owned or operated facilities is not recorded.\n\nNottingham City Council provided an average of 12,000 meals a day for schools during 2024.\n\nMeals at Home deliveries by number of meals per food group for June 2024 to June 2025:\n- African Meals 2396,\n- Chicken meals, 8354,\n- Beef meals 10104,\n- Fish meals 6228,\n- Halal meals 73,\n- Indian meals 252\n- Lamb meals 4226\n- Xmas meals 188\n- Pork meals 7194\n- Puree meals 12\n- Salads 1124\n- Soft meals 543\n- Veg 897\n",2024,"Food procured for government-owned or operated facilities is not recorded in tonnes. However, the data provided on the food procured includes: \n\n- The number of meals provided for schools per day. \n\n- The number of meals delivered as part of Meals at Home service between June 2024 to June 2025 broken down by food group and number meals provided."
2025 Disclosure Cycle,779465,CDP,14088,Oslo Municipality,City,Europe,Norway,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,2112,Meat: 199 tonnes \nFruit and vegetables: 755 tonnes \nFish and shellfish: 127 tonnes \nDairy and eggs: 527 tonnes \nBread and pasteries: 505 tonnes\n\n ,2024,Meat: 203 tonnes \nFruit and vegetables: 519 tonnes \nFish and shellfish: 145 tonnes \nDairy and eggs: 496 tonnes \nBread and pasteries: 442 tonnes
2025 Disclosure Cycle,779465,CDP,14874,"City of Portland, OR",City,North America,United States of America,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,0,NA,2022,"No data available on tonnage of food procured. The City of Portland does not provide food within our standard operations. The City does not own, control or operate hospitals, schools, or shelters, prisons, or public cafeteria. Portland does have data on total spending on food by government from the US Bureau of Labor Statistics, but do not have a way to convert this to tonnage. "
2025 Disclosure Cycle,779465,CDP,16581,"City of Seattle, WA",City,North America,United States of America,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,0.0,NA,2024,We unfortunately do not track this data in a meaningful way and therefore have nothing to report. 
2025 Disclosure Cycle,779465,CDP,19233,Municipality of Torres Vedras,City,Europe,Portugal,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,1722.43,Cantinas escolares,2024,
2025 Disclosure Cycle,779465,CDP,20113,"City of Vancouver, BC",City,North America,Canada,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,0,This data is not tracked.,2024,"Total food procured and breakdown data are not tracked. For government purchases we shift the onus to our vendors/operators to ensure they are aligned with Climate Emergency initiatives, whether it's food reduction, low-carbon protein, ethical, sustainable, local food & suppliers, energy efficiency, waste mgmt, or etc."
2025 Disclosure Cycle,779465,CDP,31009,Copenhagen Municipality,City,Europe,Denmark,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,8230.59,"Total amount of food procured is made up of the following categories: Fruit and veg 29%, Dairy 25%, Grains 18%, Roots/tubers 8%, Seafood 2%, Pork 3%, Poultry 3%, Ruminant meats 1%, Eggs 2%, Legumes/nuts/seeds 3%, Vegetable oils 3%, Added sugars 2%, Plant-based milk substitutes 1%, Alcohol/stimulants/spices 1%.",2024,Data source: 2024 Climate Impact Report. City of Copenhagen (Coolfood Pledge) (WRI)
2025 Disclosure Cycle,779465,CDP,31051,Coventry City Council,City,UKWW,United Kingdom,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,1893,"There are currently 57,699 children in schools across the City many of which are now independent of the local authority as part of an academy. Unfortunately it is currently not possible to get a breakdown of the amount of food purchased by food type as this is not recorded by contracted providers of which there are many. All secondary schools are run by Academies many of which manage a number of schools outside of the Coventry area and operate contract catering companies that cover all of their schools within each academy group that operates beyond the boundaries of the City. Also we do not know how many children bring their own packed lunches in to school or buy meals on any one particular day.\nAs for free schools meals 16,614 out of the total 57,699 student population are eligible. The range of the estimated weight of school food for a child in a day is from 0.5 to 0.7 kg so if we applied the median and the fact children attend school for a total of 190 days the weight of food for a year for all those on free school meals assuming all children accessed them (which they do not) would be 1,893 metric tonnes/ yr.",2025,As for care homes and meals delivered to the elderly as with the schools often caterers used operate across a greater geographical area for the care providing companies.
