disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Source of jurisdiction's water supply,col2_Are you able to report volumetric data for this source?,col3_Annual volume of water withdrawn per source (in megalitres) ,col4_Projected level of change over next 5-10 years,col5_Comment
2025 Disclosure Cycle,779465,CDP,19233,Municipality of Torres Vedras,City,Europe,Portugal,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,Other: Mix of Ground water (renewable) and Fresh Surface Water,Yes,6150.524,Do not know,"Fonte: Relatório de Atividades de 2024 dos SMAS de Torres Vedras (6150524 m3)\nhttps://www.smastv.pt/files/documents/ra_2024_am_final.pdf\n\nA água que chega ao município este ano foi na sua totalidade comprada e é misturada, não sendo possível descriminar valores de água superficial e subterrânea."
2025 Disclosure Cycle,779465,CDP,20113,"City of Vancouver, BC",City,North America,Canada,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,104152,Less volume projected to be withdrawn,"Annual water usage number comes from the city's engineering department as the amount of water purchased from Metro Vancouver, the regional government in charge of water supply in the area. This amount is rounded to the nearest 1000 megalitre of water. City demand-management programs, such as universal water metering on private buildings, have main objective of lowering resident and business potable-water use. "
2025 Disclosure Cycle,779465,CDP,31009,Copenhagen Municipality,City,Europe,Denmark,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,Ground water (renewable),Yes,30800,Do not know,n/a
2025 Disclosure Cycle,779465,CDP,31055,Glasgow City Council,City,UKWW,United Kingdom,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,Other: Mains fed water supply.,Yes,743.63,Much less volume projected to be withdrawn,The figure relates to water usage within Glasgow City Council and it's ALEOs in the 2024/25 financial year.
2025 Disclosure Cycle,779465,CDP,31090,"District of Columbia, DC",City,North America,United States of America,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,92250.0,About the same volume projected to be withdrawn,"Note that the District gets its water supply from the Washington Aqueduct, which also serves jurisdictions in Arlington County, Virginia, and portions of Fairfax County. A division of the Baltimore District, U.S. Army Corps of Engineers, the Aqueduct is a federally owned and operated public water supply agency that produces an average of 135 million gallons of water per day at two treatment plants located in the District of Columbia, for consumption in these three jurisdictions."
2025 Disclosure Cycle,779465,CDP,31109,City of Melbourne,City,South East Asia & Oceania,Australia,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,Other: Consists of fresh dam water,Yes,22346,Higher volume projected to be withdrawn,"Within the City of Melbourne, potable water is supplied by Melbourne Water, the statutory authority that manages major water, sewerage and drainage networks across Greater Melbourne. Two water retailers, Greater Western Water (GWW) and South East Water (SEW), manage the retail and data side of water usage in our municipality. \n\nFor 2024-25 water in Greater Melbourne was 100% sourced from dams and reservoirs which are fed by several protected water catchments. Melbourne's desalination plant provided no water to Greater Melbourne for the 2024-25 period due to high storage levels across our dams and reservoirs from recent years of above average rainfall. The desalination plant provides some of Greater Melbourne's drinking water during years with normal and below average rainfall. Recycled water is used in operations at Melbourne sport precinct, however this data is unavailable. "
2025 Disclosure Cycle,779465,CDP,31110,City of Rome,City,Europe,Italy,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,Other: Water input in pipelines.,Yes,390,Do not know,Data from 2022 Roma Capitale Statistic Office database at https://www.comune.roma.it/web/it/roma-statistica-ambiente1.page
2025 Disclosure Cycle,779465,CDP,31110,City of Rome,City,Europe,Italy,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,Other: Water collected and fed into the network in 2024,Yes,,Do not know,"cubic meters (m3) of water withdrawn for drinking purposes in 2024: 538,275,443 m3 (From ACEA)"
2025 Disclosure Cycle,779465,CDP,31112,Kaohsiung City Government,City,China,East Asia,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,Ground water (non-renewable),Yes,464116,Do not know,"Gaopingxi ground water and groundwater extraction are jointly scheduled, depending on the change of turbidity during drought and flood periods."
2025 Disclosure Cycle,779465,CDP,31112,Kaohsiung City Government,City,China,East Asia,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,153644,Do not know,"Gaopingxi ground water and groundwater extraction are jointly scheduled, depending on the change of turbidity during drought and flood periods."
2025 Disclosure Cycle,779465,CDP,31113,City of Yokohama,City,Japan,Japan,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,403631,Less volume projected to be withdrawn,https://www.city.yokohama.lg.jp/kurashi/sumai-kurashi/suido-gesui/suido/suidoujigyou/jigyogaiyou.files/0145_20241022.pdf
2025 Disclosure Cycle,779465,CDP,31114,City of Sydney,City,South East Asia & Oceania,Australia,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,32796,Higher volume projected to be withdrawn,"Water is largely drawn from surface water and is backed up by desalinated water, but this data is not broken out at a jurisdiction level."
2025 Disclosure Cycle,779465,CDP,31115,City of Johannesburg,City,UKWW,South Africa,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,Ground water (non-renewable),No,,,"The city acknowledges that numerous residents utilize boreholes, yet it lacks a precise count of these boreholes."
2025 Disclosure Cycle,779465,CDP,31115,City of Johannesburg,City,UKWW,South Africa,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,1600,About the same volume projected to be withdrawn,The city purchases water in bulk from Rand Water (a water management body). The comes mainly Lesotho (a neighbouring country). In total the city distributes 1.6 billion litres of this water per year to residents and customers.
